# M1 (90 MM M71 / 105 MM M1) -- tabela de saída do SPIN-73 (Whyte 1973), pp. 44 e 47 (JP2 0047 e 0050).
# As duas páginas do scan trazem A MESMA impressão (mesmo título, "M1", mesmo cabeçalho e o mesmo
# traço atravessando a linha de Mach 1,75): uma das duas tabelas do relatório está ausente do
# scan. Lida na p. 47, mais limpa, com a p. 44 como segunda imagem.
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
#
# entrada: VL=4.700 VB=0.500 VCG=2.980 DM=0.133 BD=1.024 OR=6.900 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG 2.9A0; 2.980 pelas identidades de Magnus com colunas impressas (Mach 0,01: 3.399 - 0.336/0.802 = 2.980)
# cabecalho: VB 0.?00 (5 ou 9); 0.500
# decidir: VN 2.300 2.309 CPF1 | cabeçalho 2.30n (o 'n' pode ser o 0 aberto desta impressão, como em 4.7n0, ou 6/8)
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.127,2.551,1.A7[13],3.9?9,0.A2?,-.A02,-.491,91.494,-A77.444,2.3A7,3.399,0.336,-7.495,-.031
0.6,0.?27,2.551,1.A73,3.9A0,0.A1?,-.A02,-.49?,91.494,-A77.444,2.3A7,3.399,0.336,-7.495,-.031
0.8,0.1?9,3.?71,1.A93,4.17A,0.?1?,-.A02,-.?41,A3.119,-7?3.AA6,2.559,3.491,0.411,-7.495,-.030
0.9,0.14?,3.617,1.745,4.473,0.417,-.A96,-.0A9,A0.AA3,-?69.[13][13][13],2.A01,3.?94,0.4A1,-9.74A,-.025
0.95,0.?33,4.221,1.927,4.6?9,0.?7?,-1.131,0.11?,47.A7A,-43A.77A,3.0A0,3.4A2,0.546,-12.134,-.022
1.0,0.?27,4.49?,2.?01,4.4?3,?.A34,-1.037,0.2?3,32.4A3,-2A7.[13][13][13],3.2A4,3.490,0.529,-15.99A,-.020
1.05,0.405,5.0?4,2.147,4.131,1.?74,-.943,0.333,19.47A,-1?A.77A,3.3?3,3.523,0.512,-15.47A,-.020
1.1,0.4?5,5.5??,2.222,4.?03,1.13A,-.A96,0.37A,13.AA3,-99.?33,3.4??,3.54?,0.503,-16.75A,-.020
1.2,0.403,A.1?7,2.307,4.0A9,1.21A,-.A02,0.39A,9.A1?,-5A.A?0,3.474,3.5A6,0.4A6,-1A.00?,-.020
1.35,0.3A9,5.527,2.437,3.AA9,1.3A4,-.A02,0.411,7.939,-41.AA9,3.493,3.5A6,0.4A6,-17.697,-.020
1.5,0.374,4.941,2.573,4.012,1.421,-.A02,0.419,7.103,-33.533,3.5A2,3.5A6,0.4A6,-17.299,-.020
1.75,,4.374,2.A90,3.901,1.533,-.A02,0.4?A,6.2AA,-25.17A,3.511,3.5A6,0.4A6,-17.299,-.019
2.0,0.330,3.A24,2.?90,3.A37,1.A07,-.A02,0.434,5.432,-1A.A22,3.521,3.5A6,0.4A6,-17.299,-.019
2.5,0.293,3.?99,2.9?[27],3.759,1.A99,-.A02,0.441,4.597,-A.467,3.5?0,3.5A6,0.4A6,-17.299,-.018
3.0,,2.5A7,2.903,3.5?5,1.74?,-.A02,0.449,3.761,-.111,3.540,3.5A6,0.4A6,-17.299,-.017
4.0,0.223,2.1?5,2.A03,3.5A7,1.709,-.A02,0.449,3.761,-.111,3.540,3.5A6,0.4A6,-17.299,-.017
5.0,0.201,1.?44,2.703,3.5?4,1.A7A,-.A02,0.449,3.761,-.111,3.540,3.5A6,0.4A6,-17.299,-.016
