# 155MM M101/107 -- tabela de saída do SPIN-73 (Whyte 1973), p. 59 (JP2 0062).
# A página mais carregada de tinta do relatório. Leitura com classes de glifo
# (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
# CYPA, CPF1, CPF5 e CLP vêm da transcrição anterior (magnus_clp.py), com as células
# duvidosas de NOTAS T2 como classes.
#
# entrada: DM=0.098 BD=1.026 OR=10.750 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: lidos VL 4.910, VN 2.490, VB 0.490 (pares 9/5); decididos abaixo, cada um por uma coluna
# decidido: VL=4.510 CYPA,CPF1,CPF5 | NOTAS T2: os três lidos com par 9/5; decididos juntos pelas colunas de Magnus
# decidido: VN=2.450 CPF1 | idem
# decidido: VB=0.450 CPF5 | idem
# decidir: BD 1.018 1.030 CX | cabeçalho 1.02?; o CX de todos os Mach fica 0,0027 acima com 1,026
# decidido: VCG=2.960 CMQ | cabeçalho 2.9A0; o Cmq pede 2,960 (tests/test_cmq.py)
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.141,2.3?7,1.763,3.3?A,1.?AA,-.767,-.5?4,A7.77?,-A4?.?A?,2.277,3.312,0.270,-5.225,-.030
0.6,0.141,2.3??,1.763,3.3?A,1.?9A,-.767,-.5?4,A7.77?,-A4?.?A?,2.277,3.312,0.270,-5.225,-.030
0.8,0.143,2.?59,1.7A3,3.5?2,0.9AA,-.767,-.3[78]0,70.7A?,-7A?.???,2.465,3.404,0.342,-5.225,-.028
0.9,0.1A?,?.37?,1.A3?,3.A?0,0.A3?,-.857,-.1?0,5[08].213,-5?A.A??,2.797,3.413,0.3AA,-7.533,-.024
0.95,0.219,?.72?,2.039,3.9A?,1.?1?,-1.082,0.0?A,4?.AAA,-4??.??A,3.0?A,3.390,0.4[46]5,-9.961,-.021
1.0,0.?75,4.1??,2.151,3.770,1.?0A,-.992,0.1A?,31.1?3,-27?.?3?,3.1?A,3.414,0.4[59]1,-13.892,-.020
1.05,?.?AA,4.AA?,2.232,3.547,1.?7?,-.902,0.2A?,1A.47?,-1AA.7?A,3.2[59]4,3.444,0.436,-13.436,-.019
1.1,?.?A3,5.1?2,2.279,3.5AA,1.4?1,-.857,0.307,13.113,-93.A33,3.31A,3.461,0.4[27]9,-14.A61,-.019
1.2,?.?74,5.A??,2.350,3.5[59]6,1.447,-.767,0.32A,9.?05,-54.[59]47,3.3AA,3.501,0.414,-15.A4?,-.019
1.35,?.457,5.113,2.4AA,3.4[79]4,1.[5A]7?,-.767,0.34[29],7.A01,-3A.?11,3.40A,3.501,0.414,-15.A01,-.019
1.5,0.[34]42,4.542,2.581,3.372,1.?[59]4,-.767,0.349,A.709,-30.493,3.41A,3.501,0.414,-15.343,-.019
1.75,0.31A,3.979,2.A90,3.19A,1.77?,-.767,0.357,5.99A,-22.47A,3.425,3.501,0.414,-15.343,-.018
2.0,0.29A,?.443,2.770,3.070,1.A5?,-.767,0.3A4,5.19A,-14.45A,3.435,3.501,0.414,-15.343,-.018
2.5,0.2AA,2.7A4,2.A9A,2.9?1,1.9A1,-.767,0.371,4.394,-A.440,3.444,3.501,0.414,-15.343,-.017
3.0,0.242,2.312,2.A49,2.A40,2.03A,-.767,0.37A,3.592,1.57A,3.454,3.501,0.414,-15.343,-.016
4.0,0.204,1.A9?,2.749,2.A3A,2.00A,-.767,0.37A,3.592,1.57A,3.454,3.501,0.414,-15.343,-.016
5.0,0.1A2,1.4A9,2.A49,2.A91,1.97A,-.767,0.37A,3.592,1.57A,3.454,3.501,0.414,-15.343,-.016
