# 155MM M549 -- tabela de saída do SPIN-73 (Whyte 1973), p. 62 (JP2 0065).
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
#
# entrada: VB=0.590 VCG=3.520 DM=0.090 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG ?.520; 3.520 pela identidade CNPA5 = CYPA*(VCG-CPF5) com colunas impressas (4.121 - 0.579/0.963 = 3.5198)
# cabecalho: VL 5.A5?, VN ?.99?, BD 1.02?, OR ?8.900 (8,9 ou 18,9) ilegíveis
# decidir: VL 5.60 5.70 CMQ | cabeçalho 5.A5?
# decidir: VN 2.990 2.999 CPF5 | cabeçalho ?.99? em zoom 8 (a leitura antiga, ?.90?, era do recorte pequeno e deixava o CPF5 inteiro 0,02 abaixo)
# decidido: OR=18.900 CX2 | cabeçalho ?8.900: com 8,9 o CX2 erra 0,33; com 18,9, 0,005
# decidir: BD 1.018 1.030 CX | cabeçalho 1.02?
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.113,2.5?4,1.5??,4.34?,,-.9A3,-.4??,110.072,-1063.222,3.0[4A]9,4.121,0.579,-12.772,-.037
0.6,0.113,2.5?4,1.5?9,4.37A,,-.9A3,-.4??,110.072,-1063.222,3.0[4A]9,4.121,0.579,-12.772,-.037
0.8,0.115,2.?A3,1.590,4.A4?,,-.9A3,-.2[13]5,100.028,-962.778,3.276,4.215,0.669,-12.772,-.035
0.9,0.135,?.93A,1.A40,5.2A?,,-1.07A,?.0??,73.033,-692.?33,3.594,4.209,0.741,-15.14?,-.030
0.95,0.1A2,?.?7?,1.744,5.2A1,?.49?,-1.34A,0.35?,57.[13][13]9,-535.??0,3.7A0,4.162,0.873,-17.482,-.026
1.0,0.2A5,4.4A5,1.9[03]5,4.9?0,?.?37,-1.245,0.4A4,39.133,-353.A43,3.9A9,4.195,0.840,-21.247,-.025
1.05,0.340,4.?04,2.[03]40,4.5?6,1.?1?,-1.132,0.59?,23.4??,-196.AA9,4.044,4.234,0.808,-20.6[59]2,-.024
1.1,0.337,5.43?,2.0?7,4.4?2,1.40A,-1.076,0.A[13]9,16.533,-127.833,4.114,4.256,0.792,-22.437,-.024
1.2,0.327,5.9?4,2.1AA,4.3?9,1.?37,-.963,0.6[59]1,11.[5A]37,-7?.A67,4.196,4.309,0.760,-24.37?,-.024
1.35,0.310,5.37?,2.305,4.29?,1.A95,-.963,0.AA9,9.A2A,-5A.77A,4.215,4.309,0.760,-25.130,-.024
1.5,0.294,4.A11,2.430,4.1?2,1.A2A,-.963,0.A7A,A.A2[37],-4A.7[37]3,4.224,4.309,0.760,-26.922,-.024
1.75,0.270,4.242,2.557,3.9?7,1.A7?,-.963,0.6A7,7.619,-3A.AA9,4.234,4.309,0.760,-26.922,-.023
2.0,0.250,3.672,2.AA0,3.7?3,2.13A,-.963,0.69A,6.614,-2A.444,4.243,4.309,0.760,-26.922,-.023
2.5,0.217,3.?0A,2.837,3.379,2.?29,-.963,0.705,5.61?,-1A.AAA,4.253,4.309,0.760,-26.922,-.022
3.0,0.196,2.536,2.771,3.170,2.?7A,-.963,0.714,4.A0A,-A.55A,4.262,4.309,0.760,-26.922,-.021
4.0,0.158,2.101,2.671,3.1?9,2.?45,-.963,0.714,4.A0A,-A.55A,4.262,4.309,0.760,-26.922,-.020
5.0,0.136,1.A65,2.571,3.101,2.?14,-.963,0.714,4.60A,-A.55A,4.2A2,4.309,0.760,-26.922,-.019
