# 175MM SRC -- tabela de saída do SPIN-73 (Whyte 1973), p. 68 (JP2 0071).
# A única tabela com ogiva maior que 3 calibres (ramos XA13..XA15 do CX e XC17 do CPN).
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
#
# entrada: VCG=4.030 DM=0.090 BD=1.000 OR=120.000 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG 4.03?; 4.030 pela identidade CNPA5 = CYPA*(VCG-CPF5) com colunas impressas (5.220 - 1.320/1.110 = 4.031)
# cabecalho: VL 6.5??, VN 5.5??, VB 0.70? com os últimos dígitos ilegíveis
# decidir: VL 6.49 6.60 CMQ | cabeçalho 6.5??
# decidir: VN 5.49 5.60 CPF1 | cabeçalho 5.5??
# decidir: VB 0.695 0.710 CYPA | cabeçalho 0.70?
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.?3?,?.A25,?.A3?,3.9?3,?.A94,-1.110,0.17A,126.694,-1229.444,4.189,5.220,1.320,-1A.975,-.043
0.6,0.?3?,?.A25,?.63?,4.0??,?.A7A,-1.110,0.17A,126.694,-1229.444,4.189,5.220,1.320,-1A.975,-.043
0.8,0.133,2.2??,?.A5?,4.3?A,?.?14,-1.110,0.3A4,115.?39,-111?.AA9,4.376,5.3??,1.424,-1A.975,-.041
0.9,0.?67,2.7A5,?.7??,5.17?,?.?3A,-1.240,0.A?5,A4.0A3,,4.6A7,5.300,1.575,-21.356,-.034
0.95,0.207,2.9?4,2.0A7,5.0?A,?.A9A,-1.5A5,1.299,66.028,-A22.77A,4.A60,5.24?,1.A97,-23.537,-.030
1.0,0.26?,3.275,?.2?1,4.549,2.?27,-1.435,1.3A2,45.0A3,-413.333,4.993,5.279,1.792,-27.092,-.02A
1.05,0.296,3.7?4,2.323,4.?44,2.?49,-1.305,1.439,27.028,-232.77A,5.133,5.322,1.6A0,-26.313,-.02A
1.1,0.2?5,4.149,2.3AA,3.A92,2.?00,-1.240,1.458,19.083,-153.333,5.206,5.347,1.634,-2A.523,-.028
1.2,0.?7?,4.54?,2.42A,3.A?3,2.45A,-1.110,1.404,13.450,-97.000,5.294,5.407,1.5[27]A,-31.057,-.028
1.35,0.267,,2.542,3.7A0,2.551,-1.110,1.424,11.139,-73.A90,5.313,5.407,1.5[27]A,-33.233,-.027
1.5,0.25?,?.517,2.595,3.7?7,2.597,-1.110,1.490,9.9A3,-62.333,5.373,5.457,1.5A4,-37.50A,-.027
1.75,0.225,2.976,2.70A,3.646,2.6A3,-1.110,1.556,8.828,-50.77A,5.432,5.507,1.639,-3A.50A,-.027
2.0,0.205,2.571,2.6A2,3.5A6,2.A91,-1.110,1.6[27]2,7.672,-39.222,5.491,5.557,1.695,-39.50A,-.026
2.5,0.182,1.9A4,2.798,3.440,2.A00,-1.110,1.632,6.517,-27.667,5.501,5.557,1.695,-40.50A,-.025
3.0,0.1?4,1.65?,2.700,3.3?0,2.A01,-1.110,1.626,5.361,-16.111,5.495,5.542,1.678,-40.50A,-.024
4.0,0.143,1.331,2.600,3.309,2.75A,-1.110,1.615,5.361,-16.111,5.485,5.532,1.667,-39.50A,-.023
5.0,0.126,1.0?5,2.500,3.29?,2.714,-1.110,1.587,5.361,-16.111,5.460,5.507,1.639,-38.00A,-.022
