# SPIN-73 (Whyte 1973, TR 4588), Tabela 14, p. 65 -- 175MM M437
# Transcrição manual do scan DTIC AD0915628 (JP2). Valores como lidos, exceto correções marcadas em NOTAS_TRANSCRICAO.md
# CX2 em Mach 1,05 relido no scan: 4.507 (a transcrição anterior dizia 4.567). CX2 em 0,8 (2.603, scan ambíguo) e
# 1,1 (5.132, scan ilegível) não conferem com o DATA XD: ver NOTAS_TRANSCRICAO.md, seção T9.
# Colunas CNPA3, CNPA5P (a coluna impressa CNPA5), DELT e DISP transcritas nesta sessão; células
# ambíguas resolvidas pela identidade CNPA3 + 0,1·CNPA5P = 3,75 ou pela fórmula ficam em NOTAS, T12.
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CPF1,CPF5,CNPA5,CMQ,CLP,GYRO,SBAR,RECIP,SBAR5,RECIP5,SPIN,W1,W2,L1,L2,L15,L25,CNPA3,CNPA5P,DELT,DISP
0.010,0.105,2.329,1.178,4.384,-0.222,-0.982,-0.339,3.155,4.143,0.631,-12.101,-0.036,1.760,-0.071,-6.798,1.399,1.189,6.1,0.45,0.09,-0.000435,0.000096,-0.000073,-0.000267,107.334,-1035.844,0.7049,0.3
0.600,0.105,2.329,1.178,4.411,-0.245,-0.982,-0.339,3.155,4.143,0.631,-12.101,-0.036,1.749,-0.071,-6.798,1.399,1.189,366.9,26.69,5.57,-0.000437,0.000097,-0.000073,-0.000267,107.334,-1035.844,0.0118,0.297
0.800,0.107,2.603,1.196,4.770,-0.488,-0.982,-0.162,3.335,4.232,0.719,-12.101,-0.035,1.618,0.202,2.748,1.532,1.395,489.2,34.79,8.22,-0.000382,0.000041,-0.000032,-0.000310,nan,nan,0.009,0.263
0.900,0.132,3.331,1.263,5.708,-1.019,-1.092,0.111,3.602,4.192,0.756,-13.870,-0.029,1.352,0.559,1.241,1.420,1.214,550.3,36.53,11.85,-0.000349,-0.000035,-0.000039,-0.000345,71.213,-674.633,0.0086,0.188
0.950,0.175,3.893,1.298,5.618,-0.827,-1.367,0.294,3.715,4.086,0.801,-15.792,-0.025,1.373,0.718,1.086,1.326,1.119,580.9,38.85,12.22,-0.000319,-0.000109,-0.000081,-0.000347,55.908,-521.58,0.0081,0.194
1.000,0.305,4.163,1.624,5.310,0.230,-1.257,0.456,3.862,4.139,0.803,-18.937,-0.024,1.453,0.814,1.036,1.162,1.027,611.5,41.89,11.87,-0.000327,-0.000190,-0.000175,-0.000343,38.153,-344.033,0.0075,0.258
1.050,0.339,4.507,1.879,5.193,0.737,-1.147,0.595,4.019,4.201,0.805,-17.717,-0.024,1.486,1.039,1.001,1.253,1.068,642.1,44.37,12.09,-0.000223,-0.000285,-0.000133,-0.000375,22.848,-190.978,0.0071,0.316
1.100,0.339,5.132,1.983,5.090,0.933,-1.092,0.657,4.101,4.236,0.805,-18.929,-0.024,1.516,1.057,1.003,1.200,1.042,672.6,46.82,12.32,-0.000231,-0.000310,-0.000168,-0.000373,16.113,-123.633,0.0067,0.351
1.200,0.327,5.503,2.089,4.991,1.110,-0.982,0.702,4.215,4.322,0.807,-20.259,-0.023,1.546,1.056,1.003,1.150,1.023,733.8,51.43,13.09,-0.000249,-0.000328,-0.000205,-0.000371,11.338,-75.88,0.0061,0.391
1.350,0.307,4.944,2.245,4.887,1.323,-0.982,0.719,4.233,4.322,0.807,-19.546,-0.023,1.579,1.121,1.015,1.201,1.042,825.5,58.26,14.32,-0.000219,-0.000353,-0.000183,-0.000389,9.379,-56.289,0.0054,0.447
1.500,0.290,4.427,2.369,4.566,1.573,-0.982,0.728,4.242,4.322,0.807,-19.826,-0.023,1.690,1.132,1.018,1.201,1.042,917.2,66.09,14.56,-0.000224,-0.000362,-0.000194,-0.000392,8.399,-46.49,0.0048,0.542
1.750,0.265,3.892,2.506,4.231,1.812,-0.982,0.737,4.251,4.322,0.807,-19.826,-0.022,1.823,1.154,1.025,1.216,1.049,1070.1,78.66,15.43,-0.000222,-0.000373,-0.000197,-0.000399,7.42,-36.698,0.004,0.663
2.000,0.244,3.388,2.601,3.966,1.975,-0.982,0.746,4.260,4.322,0.807,-19.826,-0.022,1.945,1.174,1.031,1.226,1.054,1223.0,91.25,16.28,-0.000221,-0.000381,-0.000199,-0.000403,6.44,-26.902,0.0034,0.772
2.500,0.217,2.732,2.799,3.568,2.225,-0.982,0.754,4.269,4.322,0.807,-19.826,-0.021,2.162,1.202,1.042,1.245,1.064,1528.7,116.48,17.93,-0.000219,-0.000396,-0.000202,-0.000413,5.461,-17.107,0.0027,nan
3.000,0.199,2.279,2.723,3.400,2.251,-0.982,0.763,4.278,4.322,0.807,-19.826,-0.020,2.269,1.203,1.043,1.240,1.061,1834.4,140.96,20.33,-0.000219,-0.000391,-0.000204,-0.000405,4.481,-7.311,0.0022,1.035
4.000,0.164,1.884,2.623,3.371,2.215,-0.982,0.763,4.278,4.322,0.807,-19.826,-0.019,2.289,1.197,1.040,1.234,1.058,2445.9,188.22,26.84,-0.000220,-0.000383,-0.000206,-0.000397,4.481,-7.311,0.0017,1.02
5.000,0.146,1.481,2.523,3.335,2.178,-0.982,0.763,4.278,4.322,0.807,-19.826,-0.019,2.313,1.189,1.037,1.227,1.054,3057.4,235.69,33.14,-0.000222,-0.000375,-0.000207,-0.000389,4.481,-7.311,0.0013,1.001
