# 20MM 7 CAL ANSR -- tabela de saída do SPIN-73 (Whyte 1973), p. 35 (JP2 0038).
# Nesta impressão 6 e 8 saem quase iguais ("A"): onde só um desses decidia, a célula ficou vazia
# ou foi resolvida por identidade entre colunas impressas.
#
# entrada: VN=2.000 VB=0.000 VCG=4.040 DM=0.000 BD=1.000 OR=8.000 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# decidir: VL 6.95 7.05 CMQ | cabeçalho 7.0?0
#
# identidade: CPN 1.05 1.?4? -> 1.646 | 4.040 - 5.831/2.436 = 1.6463
#
# duvidosa: CX 1.05 0.46? | 0 ou 6
# duvidosa: CX2 0.8 ?.66? | apagado
# duvidosa: CX2 0.9 4.12? | último dígito
# duvidosa: CX2 0.95 4.60? | último dígito
# duvidosa: CX2 1.0 5.25? | último dígito
# duvidosa: CX2 1.05 ?.?6? | apagado
# duvidosa: CX2 1.1 ?.53? | apagado
# duvidosa: CX2 1.35 6.73? | último dígito
# duvidosa: CX2 1.75 5.5?? | apagado
# duvidosa: CMA 0.6 5.0?5 | 2 ou 7
# duvidosa: CMA 1.1 5.9?5 | apagado
# duvidosa: CPN 0.9 1.71? | último dígito
# duvidosa: CPN 1.1 1.?25 | 6 ou 8
# duvidosa: CPN 1.5 1.?9? | apagado
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.222,3.179,2.226,5.003,1.793,-1.120,-0.801,136.472,-1327.222,3.325,4.425,0.431,-31.495,-0.046
0.6,0.222,3.179,2.226,,1.783,-1.120,-0.801,136.472,-1327.222,3.325,4.425,0.431,-31.495,-0.046
0.8,0.224,,2.246,5.115,1.763,-1.120,-0.577,124.028,-1202.778,3.525,4.525,0.543,-31.495,-0.044
0.9,0.262,,2.296,5.351,,-1.260,-0.145,90.583,-868.333,3.925,4.575,0.674,-34.826,-0.037
0.95,0.321,,2.326,5.495,1.678,-1.610,0.298,71.139,-673.889,4.225,4.625,0.942,-37.631,-0.032
1.0,0.418,,2.361,5.624,1.658,-1.470,0.419,48.583,-448.333,4.325,4.625,0.860,-42.168,-0.030
1.05,,,2.436,5.831,1.646,-1.330,0.512,29.139,-253.889,4.425,4.625,0.778,-42.378,-0.030
1.1,0.462,,2.458,,,-1.260,0.548,20.583,-168.333,4.475,4.625,0.737,-45.703,-0.030
1.2,0.454,7.328,2.522,6.088,1.626,-1.120,0.521,14.517,-107.667,4.505,4.625,0.655,-49.398,-0.030
1.35,0.437,,2.618,6.250,1.652,-1.120,0.543,12.028,-82.778,4.525,4.625,0.655,-54.523,-0.029
1.5,0.420,6.116,2.734,6.416,,-1.120,0.666,10.783,-70.333,4.635,4.725,0.767,-61.769,-0.029
1.75,0.394,,2.844,6.548,1.737,-1.120,0.790,9.539,-57.889,4.745,4.825,0.879,-63.769,-0.029
2.0,0.371,4.895,2.955,6.637,1.794,-1.120,0.913,8.294,-45.444,4.855,4.925,0.991,-65.769,-0.028
2.5,0.331,4.252,3.078,6.765,1.842,-1.120,0.924,7.050,-33.000,4.865,4.925,0.991,-67.769,-0.027
3.0,0.298,3.594,3.051,6.753,1.827,-1.120,0.902,5.806,-20.556,4.845,4.895,0.958,-67.769,-0.025
4.0,0.260,3.009,2.951,6.620,1.797,-1.120,0.879,5.806,-20.556,4.825,4.875,0.935,-65.769,-0.025
5.0,0.238,2.424,2.851,6.482,1.767,-1.120,0.823,5.806,-20.556,4.775,4.825,0.879,-62.769,-0.024
