# M1 (90 MM M71 / 105 MM M1) -- tabela de saída do SPIN-73 (Whyte 1973), pp. 44 e 47 (JP2 0047 e 0050).
# As duas páginas do scan trazem A MESMA impressão (mesmo título, "M1", mesmo cabeçalho e o mesmo
# traço atravessando a linha de Mach 1,75): uma das duas tabelas do relatório está ausente do
# scan. Lida na p. 47, mais limpa, com a p. 44 como segunda imagem.
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
#
# entrada: VL=4.700 VB=0.500 VCG=2.980 DM=0.133 BD=1.024 OR=6.900 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG 2.9A0; 2.980 pelas identidades de Magnus com colunas impressas (Mach 0,01: 3.399 - 0.336/0.802 = 2.980)
# cabecalho: VB 0.?00 (5 ou 9); 0.500
# decidir: VN 2.300 2.309 CPF1 | cabeçalho 2.30n (o 'n' pode ser o 0 aberto desta impressão, como em 4.7n0, ou 6/8)
#
# Gerado por resolver_glifos.py a partir de leituras/p44_m1.txt
#
# identidade: CYPA 0.01 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 0.01 -A77.444 -> -877.444 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 0.01 2.3A7 -> 2.367 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNA 0.6 1.A73 -> 1.673 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 0.6 3.9A0 -> 3.960 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 0.6 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 0.6 -A77.444 -> -877.444 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 0.6 2.3A7 -> 2.367 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNA 0.8 1.A93 -> 1.693 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA3 0.8 A3.119 -> 83.119 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 0.8 -7?3.AA6 -> -793.686 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 0.95 3.0A0 -> 3.080 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 0.95 3.4A2 -> 3.462 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 1.05 3.3?3 -> 3.333 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 1.1 -.A96 -> -0.896 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 1.2 4.0A9 -> 4.069 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPN 1.2 1.21A -> 1.216 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 1.2 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 1.2 0.39A -> 0.396 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 1.2 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 1.2 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 1.35 3.AA9 -> 3.889 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPN 1.35 1.3A4 -> 1.384 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 1.35 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 1.35 -41.AA9 -> -41.889 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 1.35 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 1.35 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 1.75 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 1.75 0.4?A -> 0.426 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA3 1.75 6.2AA -> 6.268 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 1.75 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 1.75 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 2.0 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 2.0 -1A.A22 -> -16.822 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 2.0 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 2.0 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 2.5 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 2.5 -A.467 -> -8.467 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 2.5 3.5?0 -> 3.530 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 2.5 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 2.5 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 3.0 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 3.0 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 3.0 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 4.0 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 4.0 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 4.0 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 5.0 3.5?4 -> 3.524 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPN 5.0 1.A7A -> 1.676 | única leitura que fecha as identidades entre colunas impressas
# identidade: CYPA 5.0 -.A02 -> -0.802 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF5 5.0 3.5A6 -> 3.586 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 5.0 0.4A6 -> 0.486 | única leitura que fecha as identidades entre colunas impressas
#
# duvidosa: CNA 0.01 1.A7[13] | não resolvido pelas identidades
# duvidosa: CMA 0.01 3.9?9 | não resolvido pelas identidades
# duvidosa: CPN 0.01 0.A2? | não resolvido pelas identidades
# duvidosa: CX 0.6 0.?27 | não resolvido pelas identidades
# duvidosa: CPN 0.6 0.A1? | não resolvido pelas identidades
# duvidosa: CNPA 0.6 -.49? | não resolvido pelas identidades
# duvidosa: CX 0.8 0.1?9 | não resolvido pelas identidades
# duvidosa: CX2 0.8 3.?71 | não resolvido pelas identidades
# duvidosa: CMA 0.8 4.17A | não resolvido pelas identidades
# duvidosa: CPN 0.8 0.?1? | não resolvido pelas identidades
# duvidosa: CYPA 0.8 -.A02 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA 0.8 -.?41 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX 0.9 0.14? | não resolvido pelas identidades
# duvidosa: CYPA 0.9 -.A96 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA 0.9 -.0A9 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA3 0.9 A0.AA3 | não resolvido pelas identidades
# duvidosa: CNPA5P 0.9 -?69.[13][13][13] | não resolvido pelas identidades
# duvidosa: CPF1 0.9 2.A01 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPF5 0.9 3.?94 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5 0.9 0.4A1 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMQ 0.9 -9.74A | não resolvido pelas identidades
# duvidosa: CX 0.95 0.?33 | não resolvido pelas identidades
# duvidosa: CMA 0.95 4.6?9 | não resolvido pelas identidades
# duvidosa: CPN 0.95 0.?7? | não resolvido pelas identidades
# duvidosa: CNPA 0.95 0.11? | não resolvido pelas identidades
# duvidosa: CNPA3 0.95 47.A7A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 0.95 -43A.77A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX 1.0 0.?27 | não resolvido pelas identidades
# duvidosa: CX2 1.0 4.49? | não resolvido pelas identidades
# duvidosa: CNA 1.0 2.?01 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMA 1.0 4.4?3 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 1.0 ?.A34 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA 1.0 0.2?3 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA3 1.0 32.4A3 | não resolvido pelas identidades
# duvidosa: CNPA5P 1.0 -2A7.[13][13][13] | não resolvido pelas identidades
# duvidosa: CPF1 1.0 3.2A4 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMQ 1.0 -15.99A | não resolvido pelas identidades
# duvidosa: CX2 1.05 5.0?4 | não resolvido pelas identidades
# duvidosa: CPN 1.05 1.?74 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA3 1.05 19.47A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 1.05 -1?A.77A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMQ 1.05 -15.47A | não resolvido pelas identidades
# duvidosa: CX 1.1 0.4?5 | não resolvido pelas identidades
# duvidosa: CX2 1.1 5.5?? | não resolvido pelas identidades
# duvidosa: CMA 1.1 4.?03 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 1.1 1.13A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA 1.1 0.37A | não resolvido pelas identidades
# duvidosa: CNPA3 1.1 13.AA3 | não resolvido pelas identidades
# duvidosa: CNPA5P 1.1 -99.?33 | não resolvido pelas identidades
# duvidosa: CPF1 1.1 3.4?? | não resolvido pelas identidades
# duvidosa: CPF5 1.1 3.54? | não resolvido pelas identidades
# duvidosa: CMQ 1.1 -16.75A | não resolvido pelas identidades
# duvidosa: CX2 1.2 A.1?7 | não resolvido pelas identidades
# duvidosa: CNPA3 1.2 9.A1? | não resolvido pelas identidades
# duvidosa: CNPA5P 1.2 -5A.A?0 | não resolvido pelas identidades
# duvidosa: CMQ 1.2 -1A.00? | não resolvido pelas identidades
# duvidosa: CX 1.35 0.3A9 | não resolvido pelas identidades
# duvidosa: CYPA 1.5 -.A02 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPF1 1.5 3.5A2 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPF5 1.5 3.5A6 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5 1.5 0.4A6 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNA 1.75 2.A90 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 1.75 -25.17A | não resolvido pelas identidades
# duvidosa: CX2 2.0 3.A24 | não resolvido pelas identidades
# duvidosa: CNA 2.0 2.?90 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMA 2.0 3.A37 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 2.0 1.A07 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX2 2.5 3.?99 | não resolvido pelas identidades
# duvidosa: CNA 2.5 2.9?[27] (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 2.5 1.A99 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX2 3.0 2.5A7 | não resolvido pelas identidades
# duvidosa: CMA 3.0 3.5?5 | não resolvido pelas identidades
# duvidosa: CPN 3.0 1.74? | não resolvido pelas identidades
# duvidosa: CX2 4.0 2.1?5 | não resolvido pelas identidades
# duvidosa: CNA 4.0 2.A03 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMA 4.0 3.5A7 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX2 5.0 1.?44 | não resolvido pelas identidades
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.127,2.551,,,,-0.802,-0.491,91.494,-877.444,2.367,3.399,0.336,-7.495,-0.031
0.6,,2.551,1.673,3.960,,-0.802,,91.494,-877.444,2.367,3.399,0.336,-7.495,-0.031
0.8,,,1.693,,,,,83.119,-793.686,2.559,3.491,0.411,-7.495,-0.030
0.9,,3.617,1.745,4.473,0.417,,,,,,,,,-0.025
0.95,,4.221,1.927,,,-1.131,,,,3.080,3.462,0.546,-12.134,-0.022
1.0,,,,,,-1.037,,,,,3.490,0.529,,-0.020
1.05,0.405,,2.147,4.131,,-0.943,0.333,,,3.333,3.523,0.512,,-0.020
1.1,,,2.222,,,-0.896,,,,,,0.503,,-0.020
1.2,0.403,,2.307,4.069,1.216,-0.802,0.396,,,3.474,3.586,0.486,,-0.020
1.35,,5.527,2.437,3.889,1.384,-0.802,0.411,7.939,-41.889,3.493,3.586,0.486,-17.697,-0.020
1.5,0.374,4.941,2.573,4.012,1.421,,0.419,7.103,-33.533,,,,-17.299,-0.020
1.75,,4.374,,3.901,1.533,-0.802,0.426,6.268,,3.511,3.586,0.486,-17.299,-0.019
2.0,0.330,,,,,-0.802,0.434,5.432,-16.822,3.521,3.586,0.486,-17.299,-0.019
2.5,0.293,,,3.759,,-0.802,0.441,4.597,-8.467,3.530,3.586,0.486,-17.299,-0.018
3.0,,,2.903,,,-0.802,0.449,3.761,-0.111,3.540,3.586,0.486,-17.299,-0.017
4.0,0.223,,,,1.709,-0.802,0.449,3.761,-0.111,3.540,3.586,0.486,-17.299,-0.017
5.0,0.201,,2.703,3.524,1.676,-0.802,0.449,3.761,-0.111,3.540,3.586,0.486,-17.299,-0.016
