# 155MM M101/107 -- tabela de saída do SPIN-73 (Whyte 1973), p. 59 (JP2 0062).
# A página mais carregada de tinta do relatório. Leitura com classes de glifo
# (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
# CYPA, CPF1, CPF5 e CLP vêm da transcrição anterior (magnus_clp.py), com as células
# duvidosas de NOTAS T2 como classes.
#
# entrada: DM=0.098 BD=1.026 OR=10.750 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: lidos VL 4.910, VN 2.490, VB 0.490 (pares 9/5); decididos abaixo, cada um por uma coluna
# decidido: VL=4.510 CYPA,CPF1,CPF5 | NOTAS T2: os três lidos com par 9/5; decididos juntos pelas colunas de Magnus
# decidido: VN=2.450 CPF1 | idem
# decidido: VB=0.450 CPF5 | idem
# decidir: BD 1.018 1.030 CX | cabeçalho 1.02?; o CX de todos os Mach fica 0,0027 acima com 1,026
# decidido: VCG=2.960 CMQ | cabeçalho 2.9A0; o Cmq pede 2,960 (tests/test_cmq.py)
#
# Gerado por resolver_glifos.py a partir de leituras/p59_155mm_m101.txt
#
# identidade: CNPA 0.01 -.5?4 -> -0.524 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 0.6 -.5?4 -> -0.524 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 0.9 -.1?0 -> -0.140 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 0.9 0.3AA -> 0.388 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 0.95 0.0?A -> 0.096 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 0.95 3.0?A -> 3.048 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 0.95 0.4[46]5 -> 0.465 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPN 1.0 1.?0A -> 1.208 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 1.0 0.4[59]1 -> 0.451 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 1.05 3.2[59]4 -> 3.254 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 1.1 -93.A33 -> -93.633 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 1.1 3.31A -> 3.318 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5 1.1 0.4[27]9 -> 0.429 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 1.2 3.5[59]6 -> 3.556 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA3 1.2 9.?05 -> 9.205 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 1.2 -54.[59]47 -> -54.547 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 1.35 0.34[29] -> 0.342 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA3 1.35 7.A01 -> 7.601 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 1.35 -3A.?11 -> -38.511 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 1.35 3.40A -> 3.406 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPN 1.5 1.?[59]4 -> 1.654 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 1.5 3.41A -> 3.416 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNA 1.75 2.A90 -> 2.690 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA3 1.75 5.99A -> 5.998 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 2.0 0.3A4 -> 0.364 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA3 2.0 5.19A -> 5.196 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA5P 2.5 -A.440 -> -6.440 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 3.0 0.37A -> 0.378 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 4.0 0.37A -> 0.378 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 5.0 0.37A -> 0.378 | única leitura que fecha as identidades entre colunas impressas
#
# duvidosa: CX2 0.01 2.3?7 | não resolvido pelas identidades
# duvidosa: CMA 0.01 3.3?A | não resolvido pelas identidades
# duvidosa: CPN 0.01 1.?AA | não resolvido pelas identidades
# duvidosa: CNPA3 0.01 A7.77? | não resolvido pelas identidades
# duvidosa: CNPA5P 0.01 -A4?.?A? | não resolvido pelas identidades
# duvidosa: CX2 0.6 2.3?? | não resolvido pelas identidades
# duvidosa: CMA 0.6 3.3?A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 0.6 1.?9A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA3 0.6 A7.77? | não resolvido pelas identidades
# duvidosa: CNPA5P 0.6 -A4?.?A? | não resolvido pelas identidades
# duvidosa: CX2 0.8 2.?59 | não resolvido pelas identidades
# duvidosa: CNA 0.8 1.7A3 | não resolvido pelas identidades
# duvidosa: CMA 0.8 3.5?2 | não resolvido pelas identidades
# duvidosa: CPN 0.8 0.9AA | não resolvido pelas identidades
# duvidosa: CNPA 0.8 -.3[78]0 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA3 0.8 70.7A? | não resolvido pelas identidades
# duvidosa: CNPA5P 0.8 -7A?.??? | não resolvido pelas identidades
# duvidosa: CX 0.9 0.1A? | não resolvido pelas identidades
# duvidosa: CX2 0.9 ?.37? | não resolvido pelas identidades
# duvidosa: CNA 0.9 1.A3? | não resolvido pelas identidades
# duvidosa: CMA 0.9 3.A?0 | não resolvido pelas identidades
# duvidosa: CPN 0.9 0.A3? | não resolvido pelas identidades
# duvidosa: CNPA3 0.9 5[08].213 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 0.9 -5?A.A?? (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX2 0.95 ?.72? | não resolvido pelas identidades
# duvidosa: CMA 0.95 3.9A? | não resolvido pelas identidades
# duvidosa: CPN 0.95 1.?1? | não resolvido pelas identidades
# duvidosa: CNPA3 0.95 4?.AAA | não resolvido pelas identidades
# duvidosa: CNPA5P 0.95 -4??.??A | não resolvido pelas identidades
# duvidosa: CX 1.0 0.?75 | não resolvido pelas identidades
# duvidosa: CX2 1.0 4.1?? | não resolvido pelas identidades
# duvidosa: CNPA 1.0 0.1A? | não resolvido pelas identidades
# duvidosa: CNPA3 1.0 31.1?3 | não resolvido pelas identidades
# duvidosa: CNPA5P 1.0 -27?.?3? | não resolvido pelas identidades
# duvidosa: CPF1 1.0 3.1?A | não resolvido pelas identidades
# duvidosa: CX 1.05 ?.?AA | não resolvido pelas identidades
# duvidosa: CX2 1.05 4.AA? | não resolvido pelas identidades
# duvidosa: CPN 1.05 1.?7? | não resolvido pelas identidades
# duvidosa: CNPA 1.05 0.2A? | não resolvido pelas identidades
# duvidosa: CNPA3 1.05 1A.47? (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 1.05 -1AA.7?A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX 1.1 ?.?A3 | não resolvido pelas identidades
# duvidosa: CX2 1.1 5.1?2 | não resolvido pelas identidades
# duvidosa: CMA 1.1 3.5AA (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 1.1 1.4?1 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMQ 1.1 -14.A61 | não resolvido pelas identidades
# duvidosa: CX 1.2 ?.?74 | não resolvido pelas identidades
# duvidosa: CX2 1.2 5.A?? | não resolvido pelas identidades
# duvidosa: CNPA 1.2 0.32A | não resolvido pelas identidades
# duvidosa: CPF1 1.2 3.3AA | não resolvido pelas identidades
# duvidosa: CMQ 1.2 -15.A4? | não resolvido pelas identidades
# duvidosa: CX 1.35 ?.457 | não resolvido pelas identidades
# duvidosa: CNA 1.35 2.4AA | não resolvido pelas identidades
# duvidosa: CMA 1.35 3.4[79]4 | não resolvido pelas identidades
# duvidosa: CPN 1.35 1.[5A]7? | não resolvido pelas identidades
# duvidosa: CMQ 1.35 -15.A01 | não resolvido pelas identidades
# duvidosa: CX 1.5 0.[34]42 | não resolvido pelas identidades
# duvidosa: CNPA3 1.5 A.709 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX 1.75 0.31A | não resolvido pelas identidades
# duvidosa: CMA 1.75 3.19A | não resolvido pelas identidades
# duvidosa: CPN 1.75 1.77? | não resolvido pelas identidades
# duvidosa: CNPA5P 1.75 -22.47A | não resolvido pelas identidades
# duvidosa: CX 2.0 0.29A | não resolvido pelas identidades
# duvidosa: CX2 2.0 ?.443 | não resolvido pelas identidades
# duvidosa: CPN 2.0 1.A5? | não resolvido pelas identidades
# duvidosa: CNPA5P 2.0 -14.45A | não resolvido pelas identidades
# duvidosa: CX 2.5 0.2AA | não resolvido pelas identidades
# duvidosa: CX2 2.5 2.7A4 | não resolvido pelas identidades
# duvidosa: CNA 2.5 2.A9A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMA 2.5 2.9?1 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 2.5 1.9A1 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNA 3.0 2.A49 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMA 3.0 2.A40 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 3.0 2.03A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 3.0 1.57A | não resolvido pelas identidades
# duvidosa: CX2 4.0 1.A9? | não resolvido pelas identidades
# duvidosa: CMA 4.0 2.A3A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 4.0 2.00A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 4.0 1.57A | não resolvido pelas identidades
# duvidosa: CX 5.0 0.1A2 | não resolvido pelas identidades
# duvidosa: CX2 5.0 1.4A9 | não resolvido pelas identidades
# duvidosa: CNA 5.0 2.A49 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CMA 5.0 2.A91 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 5.0 1.97A (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CNPA5P 5.0 1.57A | não resolvido pelas identidades
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.141,,1.763,,,-0.767,-0.524,,,2.277,3.312,0.270,-5.225,-0.030
0.6,0.141,,1.763,,,-0.767,-0.524,,,2.277,3.312,0.270,-5.225,-0.030
0.8,0.143,,,,,-0.767,,,,2.465,3.404,0.342,-5.225,-0.028
0.9,,,,,,-0.857,-0.140,,,2.797,3.413,0.388,-7.533,-0.024
0.95,0.219,,2.039,,,-1.082,0.096,,,3.048,3.390,0.465,-9.961,-0.021
1.0,,,2.151,3.770,1.208,-0.992,,,,,3.414,0.451,-13.892,-0.020
1.05,,,2.232,3.547,,-0.902,,,,3.254,3.444,0.436,-13.436,-0.019
1.1,,,2.279,,,-0.857,0.307,13.113,-93.633,3.318,3.461,0.429,,-0.019
1.2,,,2.350,3.556,1.447,-0.767,,9.205,-54.547,,3.501,0.414,,-0.019
1.35,,5.113,,,,-0.767,0.342,7.601,-38.511,3.406,3.501,0.414,,-0.019
1.5,,4.542,2.581,3.372,1.654,-0.767,0.349,,-30.493,3.416,3.501,0.414,-15.343,-0.019
1.75,,3.979,2.690,,,-0.767,0.357,5.998,,3.425,3.501,0.414,-15.343,-0.018
2.0,,,2.770,3.070,,-0.767,0.364,5.196,,3.435,3.501,0.414,-15.343,-0.018
2.5,,,,,,-0.767,0.371,4.394,-6.440,3.444,3.501,0.414,-15.343,-0.017
3.0,0.242,2.312,,,,-0.767,0.378,3.592,,3.454,3.501,0.414,-15.343,-0.016
4.0,0.204,,2.749,,,-0.767,0.378,3.592,,3.454,3.501,0.414,-15.343,-0.016
5.0,,,,,,-0.767,0.378,3.592,,3.454,3.501,0.414,-15.343,-0.016
