# Piddington, M. J. "Aerodynamic Characteristics of the 7.62 mm NATO Ammunition M-59, M-80, M-61, M-62",
# BRL MR 1833, mar. 1967 (DTIC AD815788, Distribution A). Tabela II, pp. 13-17. Transcrição do texto OCR, conferida.
# Normalização DO RELATÓRIO (não convertida): CMA, CNA por rad; CMQ = Cmq+Cmalfa_ponto com q*d/V; CMPA com p*d/V.
# CPN em polegadas a partir da base. Célula vazia = não medido ("--").
projetil,rodada,MACH,YAW_RMS_DEG,CD,CMA,CMQ,CMPA,CNA,CPN_IN,SG
M-59,6549,2.785,4.5,.316,2.31,-5.6,.14,2.8,.760,2.19
M-59,6548,2.776,2.7,.300,2.36,-5.8,.13,2.5,.800,2.20
M-59,6462,2.410,2.2,.323,2.48,-6.1,.16,2.6,.803,1.52
M-59,6463,2.393,3.2,.322,2.41,-6.0,.17,2.7,.786,1.47
M-59,6490,1.813,6.5,.425,2.50,-5.3,.10,3.5,.733,1.30
M-59,6884,1.797,3.4,.372,2.58,-5.0,.04,2.9,.787,1.32
M-59,6881,1.795,5.8,.416,2.57,-6.3,.15,2.8,.798,1.34
M-59,6903,1.299,9.3,.536,2.67,-4.3,.04,2.8,.799,1.20
M-59,6901,1.267,6.9,.482,2.68,-3.0,-.04,2.6,.826,1.16
M-59,6910,1.132,11.0,.596,2.72,-4.0,-.02,2.7,.820,1.23
M-59,6907,1.131,10.9,.592,2.72,-2.8,-.06,2.8,.808,1.18
M-80,6547,2.769,3.2,.297,1.74,-3.6,-.08,2.5,.643,3.33
M-80,6546,2.744,4.0,.309,1.80,-3.6,-.04,2.6,.641,3.30
M-80,6584,2.516,5.6,.350,1.80,-3.5,.04,2.7,.634,2.44
M-80,6583,2.464,5.2,.330,1.77,-3.3,.03,2.8,.626,2.22
M-80,6158,2.448,.6,.290,1.81,-2.8,-.21,2.6,.647,2.08
M-80,6159,2.445,.6,.294,1.79,-4.5,-.19,2.0,.712,2.14
M-80,6464,2.410,7.1,.390,1.86,-3.6,.03,3.0,.626,2.35
M-80,6491,1.940,3.5,.370,1.94,-2.8,-.08,2.8,.648,2.07
M-80,6492,1.867,2.3,.356,1.87,-3.6,-.06,2.6,.649,2.00
M-80,6494,1.695,4.6,.408,1.95,-4.2,.08,2.8,.646,1.96
M-80,6493,1.615,3.1,.400,1.92,-4.9,.05,2.6,.658,1.91
M-80,6543,1.402,4.1,.439,1.97,-3.3,.01,2.7,.659,1.99
M-80,6542,1.378,4.6,.446,1.98,-2.9,-.04,2.5,.673,1.89
M-80,6530,1.330,5.7,.470,2.04,-2.6,-.03,2.6,.658,1.93
M-80,6529,1.295,3.6,.445,2.03,-2.2,-.10,2.4,.689,1.88
M-80,6528,1.001,5.4,.476,2.11,-1.5,-.09,2.4,.705,1.82
M-80,6528,.976,5.3,.394,,,,,,
M-80,6528,.954,4.8,.314,2.44,3.0,.02,2.5,.737,1.70
M-80,6527,.946,6.7,.310,,,,,,
M-80,6737,.637,5.7,.192,2.11,2.4,-.30,1.91,,
M-80,6738,.635,7.0,.210,2.14,-.4,-.07,1.81,,
M-80,6740,.606,10.1,.284,1.73,,,2.36,,
M-80,6739,.594,2.8,.144,2.13,-.8,-.10,1.65,,
M-80,6740,.585,14.2,.360,2.02,,,2.08,,
M-80,6735,.565,13.5,.364,2.05,2.6,-.37,1.97,,
M-80,6736,.529,8.0,.266,1.74,,,2.18,,
M-61,6553,2.788,3.3,.316,2.24,-5.4,.15,2.8,.757,2.36
M-61,6552,2.753,1.0,.293,2.24,-4.5,.09,2.2,.821,2.26
M-61,6460,2.520,7.8,.380,2.34,-5.3,.14,3.2,.732,1.50
M-61,6461,2.459,4.2,.340,2.45,-5.8,.14,2.7,.786,1.42
M-61,6899,1.817,8.6,.483,2.59,-5.4,.09,3.2,.754,1.27
M-61,6882,1.725,4.9,.412,2.48,-6.1,.16,2.9,.769,1.35
M-61,6905,1.387,10.0,.553,2.62,-2.1,-.01,3.1,.767,1.22
M-61,6902,1.309,11.7,.608,2.53,-4.0,.03,3.0,.762,1.30
M-62,6551,2.849,1.7,.246,1.54,-6.2,.19,2.7,.776,3.12
M-62,6550,2.823,2.7,.252,1.52,-6.0,.24,2.8,.771,3.25
M-62,6458,2.510,4.9,.340,1.54,-6.0,.24,3.1,.755,2.26
M-62,6459,2.497,4.3,.336,1.52,-6.0,.20,3.0,.755,2.18
M-62,6900,1.854,7.7,.463,1.68,-6.6,.14,3.2,.769,2.11
M-62,6883,1.731,7.1,.340,1.81,-6.5,.14,3.1,.779,2.00
M-62,6906,1.423,5.8,.486,1.94,-6.7,-.06,2.8,.824,1.83
M-62,6904,1.368,9.3,.560,1.90,-4.5,-.20,2.9,.808,1.82
M-62,6913,.917,12.8,.409,2.06,-4.6,-.37,2.1,.844,1.79
