# McCoy, R. L. "Aerodynamic and Flight Dynamic Characteristics of the New Family of 5.56mm NATO Ammunition".
# BRL Memorandum Report BRL-MR-3476, out. 1985 (DTIC ADA162133; archive.org DTIC_ADA162133). Approved for
# public release. Tabelas 3 (Ball) e 4 (Tracer), pp. 50-51: rodada a rodada, BRL Aerodynamics Range.
#
# CONVENÇÕES DA FONTE (Lista de símbolos, pp. 57-58), modernas, iguais às do McCoy 1990 (.50):
#   CD    = arrasto total na guinada da rodada (AT = ângulo de ataque total, graus); CD = CD0 + CDδ²·sen²αt
#           CDδ² da fonte (pp. 12-13): Ball 7,0 supersônico / 9,8 subsônico; Tracer 5,7 / 6,4
#   CLA   = SUSTENTAÇÃO por sen αt; CNα ≅ CLα + CD
#   CMA   = momento estático por sen αt, em torno do CG; positivo aumenta a guinada (= SPIN-73)
#   CMPA  = Magnus, pd/V           -> SPIN-73 (pd/2V) = 2 × este valor
#   CMQ   = Cmq + Cmα̇, qd/V        -> SPIN-73 (qd/2V) = 2 × este valor
#   CPN   = centro de pressão da força normal, calibres a partir da BASE
# Os traçantes voaram sem queimar nos 50 m do túnel (p. 13): arrasto de base de projétil inerte.
# Rodadas marcadas * na fonte (14414-14416) foram disparadas antes num cano Obermeyer de passo 7".
# (a)/(b) = redução dividida da mesma rodada.
# duvidosa: 14415 CMA 2.?5 (dígito apagado)
#
# Geometria (Figs. 2 e 3, "all dimensions in calibers", 1 cal = 5,69 mm) e Tabela 1 (p. 48):
#   SS-109: L 4,07; ogiva 2,00, R 8,4; boattail 0,45 (9°45'); CG 1,52 cal da base; 4,03 g; Ix 0,1425, Iy 1,112 g·cm²
#   M855  : L 4,05; ogiva 1,90, R 7,9; boattail 0,40 (8°30'); CG 1,54;              4,05 g; Ix 0,1426, Iy 1,150
#   L110  : L 5,13; ogiva 2,14, R 8,4; base arredondada 0,26;  CG 2,52;              4,09 g; Ix 0,1573, Iy 1,874
#   M856  : L 5,18; ogiva 2,00, R 9,7; base arredondada 0,37;  CG 2,57;              4,19 g; Ix 0,1634, Iy 1,987
#   Meplat não cotado nos esboços.
PROJETIL,RD,MACH,AT,CD,CMA,CLA,CMPA,CMQ,CPN
SS-109,16221,2.638,1.30,0.2898,2.52,,-0.04,-3.77,
SS-109,16220,2.622,1.28,0.2857,2.55,2.82,-0.03,-6.42,2.34
SS-109,16231,1.964,0.88,0.3346,2.76,,,,
SS-109,16230,1.860,3.78,0.3730,2.77,2.67,0.04,-5.02,2.43
SS-109,16238,1.179,2.90,0.4614,2.97,2.15,-0.31,-3.15,2.65
SS-109,16239,1.138,1.47,0.4488,,,,,
SS-109,16245a,0.757,2.57,0.1753,,,,,
SS-109,16245b,0.746,4.06,0.1832,,1.81,,,
SS-109,16246,0.736,4.82,0.2204,3.05,1.61,-0.16,-0.22,3.19
SS-109,14414,2.645,0.40,0.2834,,,,,
SS-109,14416,2.629,1.70,0.2919,2.54,,0.16,-7.05,
SS-109,14415,2.625,1.84,0.2956,,,0.13,-7.38,
M855,16222,2.730,1.90,0.3039,2.40,2.61,0.10,-5.52,2.36
M855,16223,2.714,1.22,0.3007,2.35,,-0.03,-6.51,
M855,16228,1.875,1.62,0.3741,2.66,,,,
M855,16229,1.869,3.65,0.3851,2.64,2.59,0.06,-4.99,2.42
M855,16237,1.137,2.27,0.4874,2.82,2.16,,,2.60
M855,16238,1.072,2.87,0.4826,2.85,2.14,-0.59,1.27,2.62
M855,16243,0.674,6.04,0.2918,2.67,1.85,-0.47,0.0,2.79
L110,16224,2.543,0.78,0.2983,2.44,,0.39,-10.4,
L110,16225,2.533,2.76,0.3083,2.26,2.96,0.44,-10.1,3.21
L110,16234,1.890,6.14,0.4267,2.50,2.89,0.89,-18.6,3.27
L110,16235,1.822,0.52,0.3737,,,,,
L110,16242,1.121,5.21,0.5398,,,,,
L110,16249a,0.854,4.31,0.2470,,,,,
L110,16249b,0.841,5.29,0.2074,,,,,
M856,16226,2.575,1.64,0.3044,2.28,2.73,0.45,-14.6,3.32
M856,16227,2.566,1.70,0.3140,2.29,2.81,0.56,-12.5,3.30
M856,16232,1.995,2.77,0.3308,2.76,2.87,0.59,-14.9,3.43
M856,16233,1.870,4.01,0.4025,2.70,,0.95,-19.8,
M856,16240a,1.184,4.03,0.5031,2.88,2.10,,,3.67
M856,16240b,1.140,5.95,0.5334,2.86,2.11,,,3.65
M856,16241,1.117,4.67,0.4850,2.87,2.05,-0.30,-5.15,3.70
M856,16247,0.758,7.59,0.3174,2.93,1.92,,,3.87
M856,16248,0.738,10.04,0.2847,,,,,
