# McCoy, R. L. "Aerodynamic Characteristics of the 30mm, XM788 Projectile". BRL Memorandum Report
# ARBRL-MR-03019, maio 1980 (DTIC ADA086096; archive.org DTIC_ADA086096). Approved for public release.
# Tabela I (p. 41 do relatório): rodada a rodada, BRL Aerodynamics Range.
# O PDF é MRC (texto em máscara JBIG2): páginas extraídas com scripts/leitura/pdf_paginas.py.
#
# CONVENÇÕES DA FONTE (Lista de símbolos, pp. 45-47), as mesmas do McCoy 1982 (30 mm XM788E1/XM789):
#   CD total na guinada da rodada (AT, graus); CLA = sustentação por sen αt; CMA em torno do CG;
#   CMPA com pd/V; CMQ = Cmq + Cmα̇ com qd/V; CPN em calibres a partir da BASE; CLP com pd/V.
# CDδ² (Fig. 12, lido do gráfico, ±0,2): 7,9 para M ≤ 0,9 e 12,2 para M ≥ 1,3, tracejado linear entre.
# Cúbicos da fonte (pp. 12-14): C2 = -16 supersônico, -0,5 subsônico; a2 = 21 / 7 (não usados aqui).
# Rodada 13477 (7,76°) com indutor de guinada (p. 10).
#
# Geometria (Fig. 1, "all dimensions in calibers", 1 cal = 29,92 mm): L 3,49; corpo cilíndrico com 3
#   cintas 1,65, logo nariz 1,84 = ponta cônica (17°38', meplat 0,26) até 1,20 e ogiva R 4,30; base reta.
#   Massa 232,8 g; CG 1,25 cal da base; Ix 326,9, Iy 1685 g·cm². Passo 27,57 calibres/volta (p. 12).
PROJETIL,RD,MACH,AT,CD,CMA,CLA,CMPA,CMQ,CPN,CLP
XM788,13466,2.316,1.55,0.4074,2.40,2.42,0.19,-5.72,2.10,-0.0089
XM788,13465,2.276,1.16,0.4068,2.42,2.36,-0.19,-4.52,2.12,-0.0095
XM788,13464,2.271,3.02,0.4336,2.35,2.51,0.04,-4.93,2.05,
XM788,13463,2.259,3.39,0.4408,2.38,2.48,0.20,-5.48,2.07,
XM788,13467,1.827,0.44,0.4527,2.72,2.66,-0.17,-3.50,2.11,-0.0108
XM788,13468,1.800,0.54,0.4548,2.67,2.27,0.04,-4.39,2.23,-0.0094
XM788,13470,1.314,1.28,0.5187,2.75,2.40,0.11,-7.06,2.19,-0.0118
XM788,13469,1.290,1.58,0.5225,2.78,2.28,0.06,-6.42,2.24,-0.0119
XM788,13471,1.016,0.54,0.4479,2.92,2.49,-0.88,3.19,2.24,-0.0137
XM788,13472,1.006,1.08,0.4386,2.95,2.12,-0.41,-4.06,2.40,-0.0145
XM788,13474,0.925,1.21,0.2502,2.93,2.21,-1.30,4.11,2.44,-0.0155
XM788,13473,0.891,2.10,0.2334,2.73,2.01,-0.88,3.67,2.47,-0.0138
XM788,13476,0.849,2.25,0.2288,2.67,1.95,-0.87,4.62,2.48,-0.0136
XM788,13477,0.826,7.76,0.2924,2.66,1.96,-0.10,-1.21,2.43,-0.0150
XM788,13475,0.751,1.62,0.2271,2.64,1.60,-0.45,3.25,2.70,-0.0157
XM788,13479,0.614,4.37,0.2594,2.56,1.78,-0.10,-0.82,2.50,-0.0161
