# SUPERADO: a geometria de cada caso está agora no cabeçalho de python/tabelas/pNN_*.csv (NOTAS, T14).
# Geometria de entrada impressa no cabeçalho de cada tabela de saída (calibres).
# confianca: A = confirmado por previsão do modelo; B = leitura visual clara; C = dígitos em dúvida (marcados com ?)
# Tabelas sem propriedades de massa (Ix, Iy, peso = 0) não têm seção de estabilidade.
pagina,projetil,VL,VN,VB,VCG,DM,BD,OR,BOOM,confianca,obs
29,20MM M56A3,3.8?5,1.89?,0.000,2.?00,0.200,1.050,10.000,0.000,C,
32,20MM 5 CAL ANSR,5.00?,2.???,0.000,3.040,0.000,1.000,8.000,0.000,C,VN ilegível
35,20MM 7 CAL ANSR,7.0?0,2.000,0.000,4.040,0.000,1.000,8.000,0.000,B/C,
38,20MM 9 CAL ANSR,9.000,2.000,0.000,5.050,0.00?,1.000,8.000,0.000,B,
41,20MM 10 CAL CONE-CYL,10.00?,2.83?,0.000,?.747,0.00?,1.000,1000.000,0.000,C,OR=1000: ogiva cônica
44,90MM M71,?.700,2.300,0.?00,2.980,0.133,1.024,6.900,0.000,C,cabeçalho idêntico ao da p.47
47,105MM M1,?.700,2.300,0.?00,2.980,0.133,1.024,6.900,0.000,C,cabeçalho idêntico ao da p.44 -- conferir se o corpo também é
50,105MM XM380E5,5.580,2.900,0.590,3.340,0.130,1.023,18.600,0.000,B,relido em zoom (tabela completa em tabelas/p50_105mm_xm380e5.csv)
53,5/38 NAVY,4.590,2.150,0.350,2.710,0.100,1.040,5.300,0.000,A,VL lido 4.593; 4.590 decidido por CYPA/CPF
56,5/54 NAVY,5.?60,?.63?,?.52?,3.2??,?,?,?,?,C,cabeçalho muito degradado
59,155MM M101/107,4.510,2.450,0.450,2.980,0.098,1.026,10.750,0.000,A,VL/VN/VB lidos 4.910/2.490/0.490; decididos por CYPA/CPF1/CPF5
62,155MM M549,5.6?6,?.90?,0.590,3.520,?,?,?,?,C,
65,175MM M437,5.510,2.910,1.000,3.500,0.079,1.050,25.000,0.000,A,também tem estabilidade (validada)
68,175MM SRC,6.5??,5.50?,0.700,4.030,?,?,?,?,C,
