# Geometria das tabelas de saída do SPIN-73 decidida pelas colunas de Magnus.
# VL e VB: CYPA supersônico (E1=-0.16) e transônico (E1=-0.23 em Mach 0.95). VN: CPF1 e CPF5.
# metodo: M = decidido pelo modelo; C = cabeçalho legível e compatível; ? = incerto.
pagina,projetil,VL,VN,VB,OR,VCG,metodo,obs
29,20MM M56A3,3.82,1.60,0.00,10.0,?,M,cabeçalho lido 3.8?5 / 1.89?
32,20MM 5 CAL ANSR,5.00,2.00,0.00,8.0,3.040,M+C,
35,20MM 7 CAL ANSR,7.00,2.00,0.00,8.0,4.040,M+C,
38,20MM 9 CAL ANSR,9.00,2.00,0.00,8.0,5.050,M+C,
41,20MM 10 CAL CONE-CYL,10.00,2.836,0.00,1000.0,?,M,VN = cone de 10 graus de semiângulo
44,90MM M71,4.70,2.30,0.50,6.9,2.980,M+C,
47,105MM M1,,,,,,,página idêntica à 44 (mesmos artefatos de impressão): tabela do M1 ausente no scan
50,105MM XM380E5,5.58,2.90,0.59,18.6,3.340,M,cabeçalho lido VN 2.400 (par 4/9)
53,5/38 NAVY,4.59,2.15,0.35,5.3,2.710,M,
56,5/54 NAVY,5.26,2.61?,0.53,?,?,M,OR ilegível
59,155MM M101/107,4.51,2.45,0.45,10.75,2.980,M,
62,155MM M549,5.65,?,0.60,?,3.520,M,OR ilegível
65,175MM M437,5.51,2.91,1.00,25.0,3.500,M+C,
68,175MM SRC,6.50,5.50,0.70,?,4.030,M,OR ilegível; CPF supersônico ~+0.005 acima do modelo (em aberto)
