pagina,projetil,mach,cna_impresso,cna_reconstruido,diferenca
29,20MM M56A3,0.01,2.106,2.1058,-0.0002
29,20MM M56A3,0.6,2.106,2.1058,-0.0002
29,20MM M56A3,0.8,2.126,2.1258,-0.0002
29,20MM M56A3,0.9,2.228,2.2277,-0.0003
29,20MM M56A3,0.95,2.243,2.286,0.043
29,20MM M56A3,1.0,2.344,2.345,0.001
29,20MM M56A3,1.05,2.521,2.5211,0.0001
29,20MM M56A3,1.1,2.536,2.5357,-0.0003
29,20MM M56A3,1.2,2.585,2.5875,0.0025
29,20MM M56A3,1.35,2.65,2.6595,0.0095
29,20MM M56A3,1.5,2.753,2.7529,-0.0001
29,20MM M56A3,1.75,2.849,2.8484,-0.0006
29,20MM M56A3,2.0,2.932,2.9319,-0.0001
29,20MM M56A3,2.5,2.998,2.9984,0.0004
29,20MM M56A3,3.0,2.915,2.9148,-0.0002
29,20MM M56A3,4.0,2.815,2.8148,-0.0002
29,20MM M56A3,5.0,2.715,2.7148,-0.0002
32,20MM 5CAL ANSR,0.01,2.14,2.1405,0.0005
32,20MM 5CAL ANSR,0.6,2.14,2.1405,0.0005
32,20MM 5CAL ANSR,0.8,2.16,2.1605,0.0005
32,20MM 5CAL ANSR,0.9,2.219,2.2154,-0.0036
32,20MM 5CAL ANSR,0.95,2.248,2.2494,0.0014
32,20MM 5CAL ANSR,1.0,2.285,2.2858,0.0008
32,20MM 5CAL ANSR,1.05,2.373,2.3732,0.0002
32,20MM 5CAL ANSR,1.1,2.394,2.3938,-0.0002
32,20MM 5CAL ANSR,1.2,2.455,2.4555,0.0005
32,20MM 5CAL ANSR,1.35,2.546,2.5467,0.0007
32,20MM 5CAL ANSR,1.5,2.658,2.6583,0.0003
32,20MM 5CAL ANSR,1.75,2.761,2.7609,-0.0001
32,20MM 5CAL ANSR,2.0,2.854,2.8645,0.0105
32,20MM 5CAL ANSR,2.5,2.969,2.9691,0.0001
32,20MM 5CAL ANSR,3.0,2.925,2.9248,-0.0002
