projetil,coluna,mach,impresso,reconstruido,diferenca
175MM M437 (p.65),CYPA,0.01,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,0.6,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,0.8,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,0.9,-1.092,-1.0918,0.0002
175MM M437 (p.65),CYPA,0.95,-1.367,-1.3673,-0.0003
175MM M437 (p.65),CYPA,1.0,-1.257,-1.2571,-0.0001
175MM M437 (p.65),CYPA,1.05,-1.147,-1.1469,0.0001
175MM M437 (p.65),CYPA,1.1,-1.092,-1.0918,0.0002
175MM M437 (p.65),CYPA,1.2,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,1.35,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,1.5,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,1.75,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,2.0,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,2.5,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,3.0,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,4.0,-0.982,-0.9816,0.0004
175MM M437 (p.65),CYPA,5.0,-0.982,-0.9816,0.0004
175MM M437 (p.65),CPF1,0.01,3.155,3.1549,-0.0001
175MM M437 (p.65),CPF1,0.6,3.155,3.1549,-0.0001
175MM M437 (p.65),CPF1,0.8,3.335,3.3345,-0.0005
175MM M437 (p.65),CPF1,0.9,3.602,3.6019,-0.0001
175MM M437 (p.65),CPF1,0.95,3.715,3.7149,-0.0001
175MM M437 (p.65),CPF1,1.0,3.862,3.8624,0.0004
175MM M437 (p.65),CPF1,1.05,4.019,4.0189,-0.0001
175MM M437 (p.65),CPF1,1.1,4.101,4.1015,0.0005
175MM M437 (p.65),CPF1,1.2,4.215,4.2147,-0.0003
175MM M437 (p.65),CPF1,1.35,4.233,4.2327,-0.0003
175MM M437 (p.65),CPF1,1.5,4.242,4.2417,-0.0003
175MM M437 (p.65),CPF1,1.75,4.251,4.2506,-0.0004
175MM M437 (p.65),CPF1,2.0,4.26,4.2596,-0.0004
175MM M437 (p.65),CPF1,2.5,4.269,4.2686,-0.0004
175MM M437 (p.65),CPF1,3.0,4.278,4.2776,-0.0004
175MM M437 (p.65),CPF1,4.0,4.278,4.2776,-0.0004
175MM M437 (p.65),CPF1,5.0,4.278,4.2776,-0.0004
175MM M437 (p.65),CPF5,0.01,4.143,4.1429,-0.0001
175MM M437 (p.65),CPF5,0.6,4.143,4.1429,-0.0001
175MM M437 (p.65),CPF5,0.8,4.232,4.2327,0.0007
175MM M437 (p.65),CPF5,0.9,4.192,4.1923,0.0003
175MM M437 (p.65),CPF5,0.95,4.086,4.0857,-0.0003
175MM M437 (p.65),CPF5,1.0,4.139,4.1385,-0.0005
175MM M437 (p.65),CPF5,1.05,4.201,4.2015,0.0005
175MM M437 (p.65),CPF5,1.1,4.236,4.2378,0.0018
175MM M437 (p.65),CPF5,1.2,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,1.35,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,1.5,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,1.75,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,2.0,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,2.5,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,3.0,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,4.0,4.322,4.3225,0.0005
175MM M437 (p.65),CPF5,5.0,4.322,4.3225,0.0005
175MM M437 (p.65),CLP,0.01,-0.036,-0.036,0.0
175MM M437 (p.65),CLP,0.6,-0.036,-0.036,0.0
175MM M437 (p.65),CLP,0.8,-0.035,-0.035,0.0
175MM M437 (p.65),CLP,0.9,-0.029,-0.029,-0.0
175MM M437 (p.65),CLP,0.95,-0.025,-0.025,0.0
175MM M437 (p.65),CLP,1.0,-0.024,-0.024,0.0
175MM M437 (p.65),CLP,1.05,-0.024,-0.024,0.0
175MM M437 (p.65),CLP,1.1,-0.024,-0.024,0.0
175MM M437 (p.65),CLP,1.2,-0.023,-0.023,0.0
175MM M437 (p.65),CLP,1.35,-0.023,-0.023,0.0
175MM M437 (p.65),CLP,1.5,-0.023,-0.023,0.0
175MM M437 (p.65),CLP,1.75,-0.022,-0.022,0.0
175MM M437 (p.65),CLP,2.0,-0.022,-0.022,0.0
175MM M437 (p.65),CLP,2.5,-0.021,-0.021,0.0
175MM M437 (p.65),CLP,3.0,-0.02,-0.02,0.0
175MM M437 (p.65),CLP,4.0,-0.019,-0.019,0.0
175MM M437 (p.65),CLP,5.0,-0.019,-0.019,0.0
5/38 NAVY (p.53),CYPA,0.01,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,0.6,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,0.8,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,0.9,-0.861,-0.8612,-0.0002
5/38 NAVY (p.53),CYPA,0.95,-1.091,-1.0907,0.0003
5/38 NAVY (p.53),CYPA,1.0,-0.999,-0.9989,0.0001
5/38 NAVY (p.53),CYPA,1.05,-0.907,-0.9071,-0.0001
5/38 NAVY (p.53),CYPA,1.1,-0.861,-0.8612,-0.0002
5/38 NAVY (p.53),CYPA,1.2,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,1.35,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,1.5,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,1.75,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,2.0,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,2.5,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,3.0,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,4.0,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CYPA,5.0,-0.769,-0.7694,-0.0004
5/38 NAVY (p.53),CPF1,0.01,2.205,2.2048,-0.0002
5/38 NAVY (p.53),CPF1,0.6,2.205,2.2048,-0.0002
5/38 NAVY (p.53),CPF1,0.8,2.396,2.3957,-0.0003
5/38 NAVY (p.53),CPF1,0.9,2.747,2.7421,-0.0049
5/38 NAVY (p.53),CPF1,0.95,2.97,2.9698,-0.0002
5/38 NAVY (p.53),CPF1,1.0,3.087,3.087,0.0
5/38 NAVY (p.53),CPF1,1.05,3.208,3.2077,-0.0003
5/38 NAVY (p.53),CPF1,1.1,3.27,3.2697,-0.0003
5/38 NAVY (p.53),CPF1,1.2,3.331,3.3312,0.0002
5/38 NAVY (p.53),CPF1,1.35,3.35,3.3503,0.0003
5/38 NAVY (p.53),CPF1,1.5,3.36,3.3598,-0.0002
5/38 NAVY (p.53),CPF1,1.75,3.369,3.3693,0.0003
5/38 NAVY (p.53),CPF1,2.0,3.379,3.3789,-0.0001
5/38 NAVY (p.53),CPF1,2.5,3.388,3.3884,0.0004
5/38 NAVY (p.53),CPF1,3.0,3.398,3.398,-0.0
5/38 NAVY (p.53),CPF1,4.0,3.398,3.398,-0.0
5/38 NAVY (p.53),CPF1,5.0,3.398,3.398,-0.0
5/38 NAVY (p.53),CPF5,0.01,3.255,3.2548,-0.0002
5/38 NAVY (p.53),CPF5,0.6,3.255,3.2548,-0.0002
5/38 NAVY (p.53),CPF5,0.8,3.35,3.3503,0.0003
5/38 NAVY (p.53),CPF5,0.9,3.366,3.3656,-0.0004
