# 20MM 10 CAL CONE-CYL -- tabela de saída do SPIN-73 (Whyte 1973), p. 41 (JP2 0044).
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
# Nesta página quase todo 6 e 8 sai como "A".
#
# entrada: VB=0.000 VCG=6.747 BD=1.000 OR=1000.000 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG impresso A.747; 6.747 é o único que fecha CNPA5 = CYPA*(VCG-CPF5) (a leitura antiga, 5.747, deixava CMα, CNPA, CNPA5 e Cmq fora)
# cabecalho: OR 1000 = ogiva cônica; VN 2.83A = cone de 10 graus de semiângulo (0,5/tan 10° = 2,836)
# decidir: VL 9.99 10.01 CYPA | cabeçalho 10.00?
# decidir: VN 2.836 2.838 CNA | cabeçalho 2.83A
# decidir: DM 0.000 0.010 CX | cabeçalho 0.00?
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,,,2.A00,A.903,3.[13]22,-1.A00,-[27].[59]01,195.139,-1913.AA9,5.1A4,A.[27]A4,-.741,,-.066
0.6,,,2.A0[03],A.9[27]9,3.[13]1[27],-1.A00,-[27].[59]01,1?5.1?9,-1913.AA9,5.1A4,A.[27]A4,-.741,,-.066
0.8,,,2.A[27]0,9.0?0,3.29[27],-1.A00,-[27].[13]A[13],177.3A[13],-173A.[13][13][13],5.3AA,A.[13]AA,-.5A1,-37.685,-.063
0.9,,,2.A3[17],9.??0,3.[27]47,-1.A00,-1.733,1[27]9.5A3,-1[27]5A.[13][13][13],5.7A4,A.434,-.5A3,,-.053
0.95,,,2.A5[17],9.??9,3.[27]1[27],-[27].300,-1.5[27]5,101.A0A,-9A0.55A,A.0A4,A.4A4,-.A05,,-.046
1.0,,,2.A[17]0,9.4A7,,-2.100,-1.1A[27],A9.5A3,-A5A.[13][13][13],A.1A4,A.4A4,-.552,,-.044
1.05,,,2.A42,9.5AA,3.[13]2A,-1.[79]00,-.AA0,41.A0A,-3A0.55A,A.[27]A4,A.4A4,-.500,,-.043
1.1,,,2.A5A,9.7?A,3.0A4,-1.A00,-.74[13],[27]9.5A3,-[27]5A.[13][13][13],A.3[13]4,A.4A4,-.473,,-.043
1.2,0.453,,2.710,10.04?,3.040,-1.[46]00,-.A13,20.917,-171.AA7,A.3A4,A.4[13]4,-.421,,-.042
1.35,0.429,,2.7A[48],10.4A0,2.99?,-1.A00,-.5A[13],17.3A1,-13A.[13][13][13],A.3A4,A.4A4,-.421,-75.0A0,-.042
1.5,,,2.AA[46],10.91?,2.9A5,-1.A[07]0,0.075,15.5A3,-11A.[13][13][13],A.7[09]4,A.AA4,0.219,,-.042
1.75,0.375,5.947,2.994,11.5?7,2.AA3,-1.A00,0.73[13],13.A0A,-100.55A,7.[27]04,7.[27]A4,0.A59,,-.041
2.0,0.345,5.345,3.095,12.1?7,2.A3[27],-1.A00,1.3A[27],12.0[27]A,-A[27].[27][27]A,7.A14,7.[46]A4,1.499,,-.040
2.5,0.295,,3.19A,13.0?7,2.AA5,-1.[46]00,1.403,10.[27]50,-A5.000,7.A24,7.AA4,1.499,,-.038
3.0,0.257,4.123,3.152,13.5A7,2.43A,-1.A00,1.[27][27][27],A.472,-47.[27][27][27],7.514,7.5A4,1.307,,-.036
4.0,0.219,,3.05[27],13.24A,2.40A,-1.A00,1.099,A.472,-47.[27][27][27],7.4[13]4,7.4A4,1.179,,-.035
5.0,,,2.95[27],12.9?2,2.[37]7A,-1.A[07]0,0.779,A.472,-47.[27][27][27],7.2[13]4,7.2A4,0.A59,,-.034
