# 5"/38 NAVY -- tabela de saída do SPIN-73 (Whyte 1973), p. 53 (JP2 0056).
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
# As colunas CX, CX2, CNA, CMA, CPN, CYPA, CPF1, CPF5, CMQ e CLP já estavam transcritas em
# reconstrucao_*/ e magnus_clp.py; aqui entram com as células ambíguas como classes, e as
# colunas CNPA, CNPA3, CNPA5P e CNPA5 foram lidas agora. Três leituras antigas violavam as
# identidades e viraram classes: CPF1 0,9 (2.747), CMA 1,05 (3.749) e CMA 4,0 (3.060).
#
# entrada: VN=2.150 VB=0.350 VCG=2.710 DM=0.100 BD=1.040 OR=5.300 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# decidir: VL 4.580 4.600 CMQ | cabeçalho lido 4.593 (par 3/0); o Cmq fixa o VL em 0,001 (o CYPA só o limita a 4,584-4,590 e fica como teste)
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.167,2.641,1.799,3.4[79]4,0.7[67]9,-.769,-.3[68]9,89.343,-855.933,2.205,3.255,0.419,-9.419,-.030
0.6,0.167,2.64?,1.799,3.514,0.757,-.769,-.3[68]9,89.343,-855.933,2.205,3.255,0.419,-9.419,-.030
0.8,0.169,3.167,1.819,3.690,0.681,-.769,-.242,81.183,-774.333,2.396,3.350,0.493,-9.419,-.029
0.9,0.185,3.6?4,1.874,3.A43,0.A38,-.861,0.028,59.253,-555.033,2.74[27],3.366,0.565,-11.750,-.024
0.95,0.245,4.1??,2.045,4.135,,-1.091,0.283,46.503,-427.533,2.970,3.357,0.706,-14.259,-.021
1.0,0.370,4.626,2.139,3.976,0.85?,-.999,0.377,31.713,-279.633,3.087,3.377,0.666,-18.321,-.020
1.05,0.450,5.148,2.227,3.7[34]9,1.031,-.907,0.451,18.963,-152.133,3.208,3.400,0.626,-17.984,-.020
1.1,0.451,5.716,2.270,3.714,1.074,-.861,0.482,13.353,-96.033,3.270,3.414,0.606,-19.352,-.020
1.2,0.453,6.277,2.350,3.653,1.155,-.769,0.478,9.375,-56.253,3.331,3.446,0.566,-20.595,-.019
1.35,0.437,5.691,2.471,3.4[09]4,1.296,-.769,0.493,7.743,-39.933,3.350,3.446,0.566,-20.122,-.019
1.5,0.421,5.?91,2.606,3.569,1.341,-.769,0.500,6.927,-31.773,3.360,3.446,0.566,-18.992,-.019
1.75,0.396,4.518,2.714,3.408,1.454,-.769,0.507,6.111,-23.613,3.369,3.446,0.566,-18.992,-.019
2.0,0.371,3.940,2.827,3.331,1.532,-.769,0.515,5.295,-15.453,3.379,3.446,0.566,-18.992,-.018
2.5,0.328,3.225,2.953,3.206,1.624,-.769,0.522,4.479,-7.293,3.388,3.446,0.566,-18.992,-.017
3.0,0.287,2.667,2.929,3.071,1.66?,-.769,0.529,3.663,0.867,3.398,3.446,0.566,-18.992,-.017
4.0,0.249,2.19?,2.829,3.06[06],1.626,-.769,0.529,3.663,0.867,3.398,3.446,0.566,-18.992,-.016
5.0,0.227,1.714,2.729,3.043,1.595,-.769,0.529,3.663,0.867,3.398,3.446,0.566,-18.992,-.016
