# 5"/54 NAVY -- tabela de saída do SPIN-73 (Whyte 1973), p. 56 (JP2 0059).
# A página mais degradada do relatório depois da p. 44. Leitura com classes de glifo
# (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py. Só entram células
# legíveis ou resolvidas pelas identidades entre colunas impressas.
#
# entrada: VCG=3.210 DM=0.110 OR=13.000 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG 3.21? no cabeçalho; 3.210 pelas identidades CNPA5 = CYPA*(VCG-CPF5) e CNPA = CYPA*(VCG-CPF1) com colunas impressas (Mach 0,01: 3.796 - 0.524/0.894 = 3.210; Mach 2,0: 3.919 - 0.633/0.894 = 3.211)
# cabecalho: VL 5.2A?, VN ?.63?, VB ?.52?, BD 1.04? ilegíveis
# decidir: VL 5.260 5.289 CMQ | cabeçalho 5.2A?; só uma célula do Cmq é legível (Mach 1,35)
# decidir: VB 0.520 0.529 CYPA | cabeçalho ?.52?
# decidir: VN 2.630 2.639 CPF1 | cabeçalho ?.63?
# decidir: BD 1.040 1.049 CX | cabeçalho 1.04?
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,?.?32,2.51?,1.AA?,?.41?,?.40A,-.A94,-.40?,1A2.44A,-9??.?5A,2.7A0,3.79A,0.5?4,-11.94?,-.035
0.6,?.?3?,2.51?,?.AA?,3.4??,?.A9?,-.A94,-.4A5,10?.44A,-9??.?5A,2.7A0,3.79A,0.5?4,-11.94?,-.035
0.8,?.?34,?.?3A,?.AA?,4.?AA,?.77A,-.A94,-.2?1,93.A94,-?93.444,2.949,3.A9?,0.A0A,-11.94?,-.033
0.9,?.?55,3.57?,?.7?A,4.54A,?.A7?,-.9??,0.0A4,A7.9A3,-A47.1??,3.?74,3.A9?,0.AA0,-14.?A3,-.02A
0.95,?.212,?.05?,?.?59,4.4?1,1.73?,-1.2A2,0.?1A,53.3?7,-49A.?27,3.47?,3.A55,0.A14,-1A.A74,-.024
1.0,?.317,4.41?,1.995,4.1?9,1.A9A,-1.157,0.44A,36.AA3,-32A.?1?,3.5?7,3.A04,0.77?,-20.53?,-.023
1.05,?.?73,4.A?5,2.11?,4.??9,1.?5?,-1.0?1,0.544,21.7?7,-1?0.4?7,3.72A,3.91A,0.744,-20.01?,-.023
1.1,?.373,5.41?,2.1?5,3.?7?,1.?7?,-.9??,0.?05,1?.3?3,-11A.133,3.79A,3.9??,0.72?,-21.?70,-.023
1.2,?.3AA,5.97?,2.252,3.9?5,1.4?5,-.A94,0.59?,10.A09,-7?.A47,3.A72,3.9A5,0.A9?,-23.2AA,-.022
1.35,?.?51,5.43?,2.372,3.A43,1.A9A,-.A94,0.A0A,8.9?4,-?1.A44,3.A9?,3.9A5,0.A92,-23.479,-.022
1.5,?.?39,4.A31,2.50?,3.A?A,1.A9A,-.A94,0.A17,7.999,-4?.?93,3.9?0,3.9A5,0.A9?,-24.07A,-.022
1.75,0.312,4.2AA,2.A19,3.A5?,1.A17,-.A94,0.A?5,7.0A4,-33.1?7,3.9?9,3.9A5,0.A92,-24.07A,-.021
2.0,0.291,3.73?,2.737,3.47?,1.?4?,-.A94,0.A33,6.1[27]9,-23.791,3.919,3.9A5,0.A92,-24.07A,-.021
2.5,0.259,3.1?4,2.A92,3.2A7,2.AA?,-.A94,0.A4?,5.194,-14.440,3.92A,3.9A5,0.A92,-24.07A,-.020
3.0,0.233,2.524,2.A43,3.0A9,2.1?4,-.A94,0.A5?,4.259,-5.0A9,3.93A,3.9A5,0.A92,-24.07A,-.019
4.0,?.?95,2.30?,2.743,3.0A2,2.A9?,-.A94,0.A5?,4.259,-5.0A9,3.93A,3.9A5,0.A92,-24.07A,-.019
5.0,0.173,1.A37,2.A43,3.??0,2.A64,-.A94,0.A5?,4.259,-5.0A9,3.93A,3.9A5,0.A92,-24.07A,-.018
