# 20MM 5 CAL ANSR -- tabela de saída do SPIN-73 (Whyte 1973), p. 32 (JP2 0035).
# Página carregada de tinta: 6/8, 1/3 e 4/9 muito parecidos; células com um desses pares ambíguo ficaram vazias.
#
# entrada: VB=0.000 VCG=3.040 DM=0.000 BD=1.000 OR=8.000 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VCG ?.04? no cabeçalho; 3.040 pela identidade CNPA = CYPA*(VCG-CPF1): 2.225 + 0.652/0.800 = 3.040 (só colunas impressas)
# cabecalho: DM impresso 0.000: o programa usa zero (o CX fecha assim)
# decidir: VL 4.95 5.05 CMQ | cabeçalho 5.0??
# decidir: VN 1.90 2.10 CNA | cabeçalho 2.0?? ilegível
#
# identidade: CMA 0.01 3.3?2 -> 3.362 | (3.040-1.469)*2.140 = 3.362 (par 4/6)
# identidade: CMA 0.6 3.3?3 -> 3.383 | (3.040-1.459)*2.140 = 3.383 (par 4/8)
# identidade: CMA 0.95 ?.7?3 -> 3.723 | (3.040-1.384)*2.248 = 3.7227
# identidade: CNPA3 1.05 20.?94 -> 20.694 | 3,75 + 16.9444 (par 4/6)
# identidade: CNPA5P 0.95 -?69.444 -> -469.444 | 10*(3,75 - 50.694)
#
# duvidosa: CNA 2.0 2.?54 | 6 ou 8 (a transcrição antiga dizia 2.854)
# duvidosa: CX 0.01 ?.??2 | apagado
# duvidosa: CX 0.6 ?.??2 | apagado
# duvidosa: CX 0.8 0.?14 | 0 ou 1
# duvidosa: CX 0.95 ?.?31 | apagado
# duvidosa: CX2 0.9 3.71? | último dígito
# duvidosa: CX2 0.95 4.1?7 | apagado
# duvidosa: CX2 1.35 5.??4 | apagado
# duvidosa: CX2 2.0 ?.9?6 | apagado
# duvidosa: CX2 5.0 1.?5? | apagado
# duvidosa: CNPA5 1.1 0.?16 | 1 ou 3 (a identidade dá 0.4365: não decide o último dígito)
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,,2.765,2.140,3.362,1.469,-0.800,-0.652,97.361,-936.111,2.225,3.325,0.228,-8.088,-0.033
0.6,,2.765,2.140,3.383,1.459,-0.800,-0.652,97.361,-936.111,2.225,3.325,0.228,-8.088,-0.033
0.8,,3.255,2.160,3.458,1.439,-0.800,-0.492,88.472,-847.222,2.425,3.425,0.308,-8.088,-0.031
0.9,0.242,,2.215,3.621,1.406,-0.900,-0.194,64.583,-608.333,2.825,3.475,0.391,-11.113,-0.026
0.95,,,2.248,3.723,1.384,-1.150,0.098,50.694,-469.444,3.125,3.525,0.558,-14.020,-0.023
1.0,0.398,4.735,2.285,3.808,1.374,-1.050,0.194,34.583,-308.333,3.225,3.525,0.509,-18.659,-0.022
1.05,0.446,5.232,2.373,3.743,1.463,-0.950,0.271,20.694,-169.444,3.325,3.525,0.461,-18.919,-0.022
1.1,0.442,5.796,2.394,3.808,1.449,-0.900,0.301,14.583,-108.333,3.375,3.525,,-20.963,-0.021
1.2,0.434,6.395,2.455,3.872,1.463,-0.800,0.292,10.250,-65.000,3.405,3.525,0.388,-23.020,-0.021
1.35,0.417,,2.546,3.889,1.513,-0.800,0.308,8.472,-47.222,3.425,3.525,0.388,-24.599,-0.021
1.5,0.400,5.192,2.658,3.894,1.575,-0.800,0.316,7.583,-38.333,3.435,3.525,0.388,-26.211,-0.021
1.75,0.374,4.589,2.761,3.808,1.661,-0.800,0.324,6.694,-29.444,3.445,3.525,0.388,-26.211,-0.020
2.0,0.351,,,3.701,1.748,-0.800,0.332,5.806,-20.556,3.455,3.525,0.388,-26.211,-0.020
2.5,0.311,3.361,2.969,3.514,1.856,-0.800,0.340,4.917,-11.667,3.465,3.525,0.388,-26.211,-0.019
3.0,0.278,2.820,2.925,3.329,1.902,-0.800,0.348,4.028,-2.778,3.475,3.525,0.388,-26.211,-0.018
4.0,0.240,2.335,2.825,3.300,1.872,-0.800,0.348,4.028,-2.778,3.475,3.525,0.388,-26.211,-0.018
5.0,0.218,,2.725,3.265,1.842,-0.800,0.348,4.028,-2.778,3.475,3.525,0.388,-26.211,-0.017
