# 105 MM XM380E5 -- tabela de saída do SPIN-73 (Whyte 1973), p. 50 (JP2 0053).
# Título impresso: "GE BURLINGTON VERMONT / XM380E5". Sem propriedades de massa: só coeficientes.
# Leitura visual do scan (recortes com zoom 2 a 5), sem usar o modelo para decidir dígitos.
# Células vazias: ilegíveis. Células resolvidas por identidade entre colunas IMPRESSAS
# (CMA = (VCG-CPN)*CNA; CNPA = CYPA*(VCG-CPF1); CNPA5 = CYPA*(VCG-CPF5); CNPA3 + 0,1*CNPA5P = 3,75)
# estão marcadas abaixo e ficam fora das contagens de validação.
#
# entrada: VL=5.580 VN=2.900 VB=0.590 VCG=3.340 DM=0.130 BD=1.023 OR=18.600 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# cabecalho: VL lido 5.5A0 (A = glifo do 8); VN 2.900 nítido (a leitura antiga 2.400 era do scan de baixa resolução)
#
# identidade: CMA 0.8 4.3?2 -> 4.332 | (3.340-0.630)*1.599 = 4.333 +-0.0014
# identidade: CMA 0.95 4.9?8 -> 4.998 | (3.340-0.488)*1.753 = 5.000 +-0.002
# identidade: CMA 1.2 4.1?4 -> 4.134 | (3.340-1.459)*2.198 = 4.134
# identidade: CMA 2.0 3.43? -> 3.431 | (3.340-2.067)*2.695 = 3.431
# identidade: CNPA5P 0.95 -52?.733 -> -528.733 | CNPA3 56.623 + 0,1*CNPA5P = 3,75
# identidade: CNPA5 1.05 0.93? -> 0.932 | -1.119*(3.340-4.173) = 0.932 (par 2/7)
# identidade: CPF5 2.5 4.24? -> 4.248 | 3.340 + 0.865/0.952 = 4.2486 (par 6/8)
# identidade: CNPA 3.0 0.?20 -> 0.820 | -0.952*(3.340-4.201) = 0.820 (par 2/7)
# identidade: CNPA 5.0 0.?20 -> 0.820 | idem
#
# releitura: CX 1.5 0.303 -> 0.300 | o último glifo é um 0 com a metade esquerda apagada, igual ao 1º glifo da linha de Mach 1,35 (0.316)
#
# duvidosa: CX2 0.8 2.9?? | dois últimos dígitos apagados
# duvidosa: CX2 0.9 3.4?5 | 7 ou 9
# duvidosa: CX2 1.0 4.3?8 | 4 ou 8
# duvidosa: CX2 1.1 5.3?1 | 8 ou 9
# duvidosa: CMQ 0.9 -17.79? | último dígito deformado
# duvidosa: CMQ 2.5 -28.02? | 4 ou 8
# duvidosa: CLP 1.2 -.02? | último dígito ilegível
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.113,2.494,1.579,4.045,0.778,-0.952,-0.296,108.703,-1049.533,3.029,4.061,0.686,-15.510,-0.037
0.6,0.113,2.494,1.579,4.070,0.762,-0.952,-0.296,108.703,-1049.533,3.029,4.061,0.686,-15.510,-0.037
0.8,0.115,,1.599,4.332,0.630,-0.952,-0.118,98.783,-950.333,3.217,4.155,0.775,-15.510,-0.035
0.9,0.136,,1.647,4.940,0.341,-1.063,0.207,72.123,-683.733,3.534,4.148,0.859,,-0.030
0.95,0.185,3.954,1.753,4.998,0.488,-1.342,0.509,56.623,-528.733,3.719,4.102,1.023,-20.119,-0.026
1.0,0.289,,1.913,4.631,0.919,-1.231,0.626,38.643,-348.933,3.848,4.134,0.977,-23.869,-0.024
1.05,0.345,4.844,2.050,4.301,1.242,-1.119,0.720,23.143,-193.933,3.984,4.173,0.932,-23.251,-0.024
1.1,0.342,,2.107,4.220,1.337,-1.063,0.759,16.323,-125.733,4.054,4.195,0.910,-24.968,-0.024
1.2,0.333,5.913,2.198,4.134,1.459,-0.952,0.757,11.487,-77.373,4.136,4.248,0.865,-26.770,
1.35,0.316,5.354,2.316,3.996,1.615,-0.952,0.775,9.503,-57.533,4.155,4.248,0.865,-27.069,-0.023
1.5,0.300,4.786,2.443,3.872,1.755,-0.952,0.784,8.511,-47.613,4.164,4.248,0.865,-28.028,-0.023
1.75,0.276,4.221,2.567,3.686,1.904,-0.952,0.793,7.519,-37.693,4.173,4.248,0.865,-28.028,-0.023
2.0,0.256,3.652,2.695,3.431,2.067,-0.952,0.802,6.527,-27.773,4.183,4.248,0.865,-28.028,-0.022
2.5,0.224,2.992,2.845,3.075,2.259,-0.952,0.811,5.535,-17.853,4.192,4.248,0.865,,-0.021
3.0,0.203,2.521,2.781,2.891,2.301,-0.952,0.820,4.543,-7.933,4.201,4.248,0.865,-28.028,-0.020
4.0,0.165,2.086,2.681,2.870,2.270,-0.952,0.820,4.543,-7.933,4.201,4.248,0.865,-28.028,-0.020
5.0,0.143,1.651,2.581,2.843,2.239,-0.952,0.820,4.543,-7.933,4.201,4.248,0.865,-28.028,-0.019
