# 5"/38 NAVY -- tabela de saída do SPIN-73 (Whyte 1973), p. 53 (JP2 0056).
# Leitura com classes de glifo (A = 6 ou 8; [xy] = x ou y; ? = ilegível); ver resolver_glifos.py.
# As colunas CX, CX2, CNA, CMA, CPN, CYPA, CPF1, CPF5, CMQ e CLP já estavam transcritas em
# reconstrucao_*/ e magnus_clp.py; aqui entram com as células ambíguas como classes, e as
# colunas CNPA, CNPA3, CNPA5P e CNPA5 foram lidas agora. Três leituras antigas violavam as
# identidades e viraram classes: CPF1 0,9 (2.747), CMA 1,05 (3.749) e CMA 4,0 (3.060).
#
# entrada: VN=2.150 VB=0.350 VCG=2.710 DM=0.100 BD=1.040 OR=5.300 BOOM=0.000
# entrada: DIA=0 IX=0 IY=0 WGT=0 TWIST=0
# decidir: VL 4.580 4.600 CMQ | cabeçalho lido 4.593 (par 3/0); o Cmq fixa o VL em 0,001 (o CYPA só o limita a 4,584-4,590 e fica como teste)
#
# Gerado por resolver_glifos.py a partir de leituras/p53_5in38_navy.txt
#
# identidade: CNPA 0.01 -.3[68]9 -> -0.389 | única leitura que fecha as identidades entre colunas impressas
# identidade: CNPA 0.6 -.3[68]9 -> -0.389 | única leitura que fecha as identidades entre colunas impressas
# identidade: CPF1 0.9 2.74[27] -> 2.742 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 1.05 3.7[34]9 -> 3.739 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 1.35 3.4[09]4 -> 3.494 | única leitura que fecha as identidades entre colunas impressas
# identidade: CMA 4.0 3.06[06] -> 3.066 | única leitura que fecha as identidades entre colunas impressas
#
# duvidosa: CMA 0.01 3.4[79]4 | não resolvido pelas identidades
# duvidosa: CPN 0.01 0.7[67]9 | não resolvido pelas identidades
# duvidosa: CX2 0.6 2.64? | não resolvido pelas identidades
# duvidosa: CX2 0.9 3.6?4 | não resolvido pelas identidades
# duvidosa: CMA 0.9 3.A43 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CPN 0.9 0.A38 (nenhuma leitura fecha as identidades) | não resolvido pelas identidades
# duvidosa: CX2 0.95 4.1?? | não resolvido pelas identidades
# duvidosa: CPN 1.0 0.85? | não resolvido pelas identidades
# duvidosa: CX2 1.5 5.?91 | não resolvido pelas identidades
# duvidosa: CPN 3.0 1.66? | não resolvido pelas identidades
# duvidosa: CX2 4.0 2.19? | não resolvido pelas identidades
MACH,CX,CX2,CNA,CMA,CPN,CYPA,CNPA,CNPA3,CNPA5P,CPF1,CPF5,CNPA5,CMQ,CLP
0.01,0.167,2.641,1.799,,,-0.769,-0.389,89.343,-855.933,2.205,3.255,0.419,-9.419,-0.030
0.6,0.167,,1.799,3.514,0.757,-0.769,-0.389,89.343,-855.933,2.205,3.255,0.419,-9.419,-0.030
0.8,0.169,3.167,1.819,3.690,0.681,-0.769,-0.242,81.183,-774.333,2.396,3.350,0.493,-9.419,-0.029
0.9,0.185,,1.874,,,-0.861,0.028,59.253,-555.033,2.742,3.366,0.565,-11.750,-0.024
0.95,0.245,,2.045,4.135,,-1.091,0.283,46.503,-427.533,2.970,3.357,0.706,-14.259,-0.021
1.0,0.370,4.626,2.139,3.976,,-0.999,0.377,31.713,-279.633,3.087,3.377,0.666,-18.321,-0.020
1.05,0.450,5.148,2.227,3.739,1.031,-0.907,0.451,18.963,-152.133,3.208,3.400,0.626,-17.984,-0.020
1.1,0.451,5.716,2.270,3.714,1.074,-0.861,0.482,13.353,-96.033,3.270,3.414,0.606,-19.352,-0.020
1.2,0.453,6.277,2.350,3.653,1.155,-0.769,0.478,9.375,-56.253,3.331,3.446,0.566,-20.595,-0.019
1.35,0.437,5.691,2.471,3.494,1.296,-0.769,0.493,7.743,-39.933,3.350,3.446,0.566,-20.122,-0.019
1.5,0.421,,2.606,3.569,1.341,-0.769,0.500,6.927,-31.773,3.360,3.446,0.566,-18.992,-0.019
1.75,0.396,4.518,2.714,3.408,1.454,-0.769,0.507,6.111,-23.613,3.369,3.446,0.566,-18.992,-0.019
2.0,0.371,3.940,2.827,3.331,1.532,-0.769,0.515,5.295,-15.453,3.379,3.446,0.566,-18.992,-0.018
2.5,0.328,3.225,2.953,3.206,1.624,-0.769,0.522,4.479,-7.293,3.388,3.446,0.566,-18.992,-0.017
3.0,0.287,2.667,2.929,3.071,,-0.769,0.529,3.663,0.867,3.398,3.446,0.566,-18.992,-0.017
4.0,0.249,,2.829,3.066,1.626,-0.769,0.529,3.663,0.867,3.398,3.446,0.566,-18.992,-0.016
5.0,0.227,1.714,2.729,3.043,1.595,-0.769,0.529,3.663,0.867,3.398,3.446,0.566,-18.992,-0.016
